Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Che Adams,FW,Scotland,27,1996,2.3,31,28,3,0,0,1,1,0,0,0,0,0,27,0,0
Michel Aebischer,DF,Switzerland,27,1997,5.3,252,219,32,4,3,2,3,28,0,0,0,0,221,1,0
Arlind Ajeti,DF,Albania,30,1993,3.0,112,105,6,6,0,1,0,0,0,0,0,0,93,1,2
Manuel Akanji,DF,Switzerland,28,1995,5.3,331,304,26,11,0,0,0,0,0,0,0,0,304,1,2
Samet Akaydın,DF,Türkiye,29,1994,3.7,206,197,9,6,1,0,0,0,0,0,0,0,185,0,0
Nathan Aké,DF,Netherlands,28,1995,5.2,274,227,44,11,0,0,1,33,0,0,0,0,239,3,5
Yunus Akgün,FW,Türkiye,23,2000,0.8,17,16,1,0,0,0,3,0,1,1,0,0,14,0,1
Kerem Aktürkoğlu,"FW,MF",Türkiye,25,1998,1.2,38,36,1,0,1,0,3,1,0,0,0,0,22,1,1
Trent Alexander-Arnold,"MF,DF",England,25,1998,1.5,101,97,4,3,0,3,5,0,1,0,1,0,84,0,2
Denis Alibec,FW,Romania,33,1991,0.3,4,2,2,0,0,0,0,0,0,0,0,0,4,0,0
Barış Alper Yılmaz,FW,Türkiye,23,2000,5.0,105,98,7,1,2,1,8,0,1,0,0,0,80,0,1
Sandro Altunashvili,MF,Georgia,26,1997,0.6,16,16,0,0,0,0,1,0,0,0,0,0,13,0,0
Zeki Amdouni,"MF,FW",Switzerland,23,2000,0.6,14,13,0,0,0,0,0,0,0,0,0,0,9,1,0
Joachim Andersen,DF,Denmark,27,1996,4.0,298,290,7,6,1,5,5,1,0,0,0,0,249,1,2
Robert Andrich,MF,Germany,29,1994,3.5,232,231,1,1,1,0,1,0,0,0,0,0,208,0,3
Waldemar Anton,DF,Germany,27,1996,0.4,24,23,1,0,0,0,0,1,0,0,0,0,20,0,0
Stuart Armstrong,MF,Scotland,31,1992,0.2,10,8,2,0,0,0,3,1,1,1,0,0,7,0,0
Marko Arnautović,FW,Austria,34,1989,3.1,54,52,2,1,0,0,2,0,0,0,0,0,39,0,4
Jasir Asani,FW,Albania,28,1995,2.3,38,38,0,0,1,0,4,0,0,0,0,0,31,0,0
Kristjan Asllani,MF,Albania,21,2002,3.0,189,168,20,15,2,6,13,0,5,5,0,0,155,1,3
Kaan Ayhan,"MF,DF",Türkiye,29,1994,4.0,179,169,9,8,2,4,1,1,0,0,0,0,156,1,2
Alex Baena,"MF,FW",Spain,22,2001,0.3,12,11,1,0,0,0,0,0,1,0,0,0,11,0,0
Alexander Bah,"DF,MF",Denmark,26,1997,3.1,164,145,19,0,0,1,6,19,0,0,0,0,127,0,4
Nedim Bajrami,"FW,MF",Albania,24,1999,2.7,80,75,4,0,1,0,4,0,1,1,0,0,61,1,1
Johan Bakayoko,"FW,DF",Belgium,20,2003,0.5,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0
Jure Balkovec,DF,Slovenia,29,1994,1.3,37,21,16,0,0,0,1,16,0,0,0,0,24,0,0
Iván Balliu,DF,Albania,32,1992,1.0,43,35,8,1,0,0,0,7,0,0,0,0,33,0,2
Nicușor Bancu,DF,Romania,31,1992,3.0,139,107,29,2,0,0,5,27,0,0,0,0,103,3,4
Antonín Barák,MF,Czechia,29,1994,0.5,24,22,1,0,0,0,1,0,0,0,0,0,20,1,0
Bradley Barcola,"FW,MF",France,21,2002,1.1,32,32,0,0,0,0,1,0,0,0,0,0,27,0,1
Abdülkerim Bardakcı,DF,Türkiye,29,1994,4.0,211,200,10,6,0,4,1,0,0,0,0,0,182,1,2
Nicolò Barella,MF,Italy,26,1997,3.7,261,256,3,2,1,1,2,0,0,0,0,0,239,2,2
Alessandro Bastoni,DF,Italy,24,1999,4.0,333,315,18,9,0,0,1,2,0,0,0,0,306,0,3
Martin Baturina,FW,Croatia,20,2003,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Christoph Baumgartner,"MF,FW",Austria,24,1999,3.2,105,101,3,0,3,1,6,1,0,0,0,0,72,1,4
Altay Bayındır,GK,Türkiye,25,1998,1.0,35,31,4,2,0,0,0,0,0,0,0,0,29,0,0
Jan Bednarek,DF,Poland,27,1996,3.0,101,86,14,7,0,1,0,7,0,0,0,0,89,1,0
Maximilian Beier,FW,Germany,21,2002,0.3,7,7,0,0,0,0,1,0,0,0,0,0,3,0,2
Jude Bellingham,"MF,FW",England,20,2003,7.4,363,356,6,3,3,3,8,3,0,0,0,0,311,1,8
László Bénes,MF,Slovakia,26,1997,0.8,52,47,5,2,1,1,6,0,3,2,1,0,41,0,1
Bartosz Bereszyński,DF,Poland,31,1992,0.1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1
Steven Bergwijn,FW,Netherlands,26,1997,1.0,49,49,0,0,0,0,2,0,0,0,0,0,40,0,2
Medon Berisha,MF,Albania,20,2003,0.2,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0
Victor Bernth Kristiansen,"DF,MF",Denmark,21,2002,1.7,92,83,9,0,0,0,4,9,0,0,0,0,72,0,1
Matúš Bero,"MF,DF",Slovakia,28,1995,0.5,24,21,3,0,0,0,2,3,0,0,0,0,17,0,1
Jaka Bijol,DF,Slovenia,24,1999,4.3,130,124,6,4,2,1,1,0,0,0,0,0,107,0,1
Veljko Birmančević,DF,Serbia,25,1998,0.3,16,12,4,2,0,0,5,2,0,0,0,0,10,0,1
