Player,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Che Adams,FW,Scotland,27,1996,2.3,0,2,1,50.0,0.86,0.43,0.00,0.00,14.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Michel Aebischer,DF,Switzerland,27,1997,5.3,1,2,1,50.0,0.38,0.19,0.50,1.00,21.7,0,0,0,0.1,0.1,0.05,+0.9,+0.9
Arlind Ajeti,DF,Albania,30,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Manuel Akanji,DF,Switzerland,28,1995,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Samet Akaydın,DF,Türkiye,29,1994,3.7,1,2,1,50.0,0.54,0.27,0.50,1.00,5.2,0,0,0,0.4,0.4,0.18,+0.6,+0.6
Nathan Aké,DF,Netherlands,28,1995,5.2,0,2,0,0.0,0.38,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Yunus Akgün,FW,Türkiye,23,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kerem Aktürkoğlu,"FW,MF",Türkiye,25,1998,1.2,1,6,2,33.3,5.14,1.71,0.17,0.50,12.0,0,0,0,1.4,1.4,0.24,-0.4,-0.4
Trent Alexander-Arnold,"MF,DF",England,25,1998,1.5,0,4,1,25.0,2.69,0.67,0.00,0.00,28.6,1,0,0,0.1,0.1,0.03,-0.1,-0.1
Denis Alibec,FW,Romania,33,1991,0.3,0,1,0,0.0,3.10,0.00,0.00,,14.1,0,0,0,0.3,0.3,0.34,-0.3,-0.3
Barış Alper Yılmaz,FW,Türkiye,23,2000,5.0,0,4,3,75.0,0.80,0.60,0.00,0.00,15.5,0,0,0,0.4,0.4,0.10,-0.4,-0.4
Sandro Altunashvili,MF,Georgia,26,1997,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Zeki Amdouni,"MF,FW",Switzerland,23,2000,0.6,0,2,1,50.0,3.16,1.58,0.00,0.00,13.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2
Joachim Andersen,DF,Denmark,27,1996,4.0,0,3,0,0.0,0.75,0.00,0.00,,9.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Robert Andrich,MF,Germany,29,1994,3.5,0,7,2,28.6,1.98,0.57,0.00,0.00,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Waldemar Anton,DF,Germany,27,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Stuart Armstrong,MF,Scotland,31,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marko Arnautović,FW,Austria,34,1989,3.1,1,3,2,66.7,0.97,0.65,0.00,0.00,19.4,0,1,1,1.7,0.9,0.29,-0.7,-0.9
Jasir Asani,FW,Albania,28,1995,2.3,0,4,1,25.0,1.71,0.43,0.00,0.00,25.7,0,0,0,0.1,0.1,0.01,-0.1,-0.1
Kristjan Asllani,MF,Albania,21,2002,3.0,0,8,3,37.5,2.67,1.00,0.00,0.00,23.9,1,0,0,0.6,0.6,0.07,-0.6,-0.6
Kaan Ayhan,"MF,DF",Türkiye,29,1994,4.0,0,3,0,0.0,0.75,0.00,0.00,,15.6,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Alex Baena,"MF,FW",Spain,22,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alexander Bah,"DF,MF",Denmark,26,1997,3.1,0,2,0,0.0,0.64,0.00,0.00,,14.4,0,0,0,0.4,0.4,0.19,-0.4,-0.4
Nedim Bajrami,"FW,MF",Albania,24,1999,2.7,1,3,1,33.3,1.10,0.37,0.33,1.00,15.5,0,0,0,0.1,0.1,0.05,+0.9,+0.9
Johan Bakayoko,"FW,DF",Belgium,20,2003,0.5,0,3,0,0.0,5.63,0.00,0.00,,16.0,0,0,0,0.6,0.6,0.22,-0.6,-0.6
Jure Balkovec,DF,Slovenia,29,1994,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Iván Balliu,DF,Albania,32,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicușor Bancu,DF,Romania,31,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Antonín Barák,MF,Czechia,29,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bradley Barcola,"FW,MF",France,21,2002,1.1,0,2,1,50.0,1.75,0.87,0.00,0.00,9.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Abdülkerim Bardakcı,DF,Türkiye,29,1994,4.0,0,2,0,0.0,0.50,0.00,0.00,,8.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Nicolò Barella,MF,Italy,26,1997,3.7,1,1,1,100.0,0.27,0.27,1.00,1.00,21.7,0,0,0,0.1,0.1,0.09,+0.9,+0.9
Alessandro Bastoni,DF,Italy,24,1999,4.0,1,3,2,66.7,0.75,0.50,0.33,0.50,6.4,0,0,0,0.5,0.5,0.17,+0.5,+0.5
Martin Baturina,FW,Croatia,20,2003,0.1,0,1,1,100.0,12.86,12.86,0.00,0.00,13.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Christoph Baumgartner,"MF,FW",Austria,24,1999,3.2,1,8,4,50.0,2.49,1.25,0.13,0.25,11.5,0,0,0,1.8,1.8,0.22,-0.8,-0.8
Altay Bayındır,GK,Türkiye,25,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jan Bednarek,DF,Poland,27,1996,3.0,0,1,0,0.0,0.33,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.16,-0.2,-0.2
Maximilian Beier,FW,Germany,21,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jude Bellingham,"MF,FW",England,20,2003,7.4,2,6,3,50.0,0.81,0.40,0.33,0.67,13.7,0,0,0,0.6,0.6,0.11,+1.4,+1.4
László Bénes,MF,Slovakia,26,1997,0.8,0,1,0,0.0,1.27,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Bartosz Bereszyński,DF,Poland,31,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Steven Bergwijn,FW,Netherlands,26,1997,1.0,0,1,0,0.0,1.00,0.00,0.00,,31.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Medon Berisha,MF,Albania,20,2003,0.2,0,1,0,0.0,4.29,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Victor Bernth Kristiansen,"DF,MF",Denmark,21,2002,1.7,0,1,0,0.0,0.58,0.00,0.00,,20.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Matúš Bero,"MF,DF",Slovakia,28,1995,0.5,0,1,0,0.0,2.20,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0
