Player,Pos,Squad,Age,Club,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Brenden Aaronson,MF,United States,21,Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,6,6,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.24,0.06,0.24
Ali Abdi,DF,Tunisia,28,Caen,1993,3,2,188,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,17,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Salis Abdul Samed,MF,Ghana,22,Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,6,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Saud Abdulhamid,"DF,MF",Saudi Arabia,22,Al-Hilal,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,6,15,17,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
Nawaf Al Abed,MF,Saudi Arabia,32,Al-Shabab,1990,2,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,1,7,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.20,0.13,0.20
Pape Abou Cissé,DF,Senegal,26,Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vincent Aboubakar,FW,Cameroon,30,Al-Nassr,1992,3,1,142,1.6,2,1,3,2,0,0,2,1,0.6,0.6,0.6,1.2,4,1,9,1.27,0.63,1.90,1.27,1.90,0.37,0.39,0.76,0.37,0.76
Abdulrahman Al-Aboud,"MF,DF",Saudi Arabia,27,Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.18,0.06,0.24,0.18,0.24
Zakaria Aboukhlal,"FW,MF",Morocco,22,Toulouse,2000,4,0,79,0.9,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.0,1,1,0,1.14,0.00,1.14,1.14,1.14,1.16,0.00,1.16,1.16,1.16
Kellyn Acosta,MF,United States,26,LAFC,1995,2,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcos Acuña,"DF,FW",Argentina,30,Sevilla,1991,6,4,373,4.1,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,5,13,26,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.10,0.02,0.10
Tyler Adams,MF,United States,23,Leeds United,1999,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.5,6,26,0,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12
Sam Adekugbe,DF,Canada,27,Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
Michel Aebischer,"MF,FW",Switzerland,25,Bologna,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Akram Afif,FW,Qatar,25,Al Sadd,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,7,12,11,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12
Nayef Aguerd,DF,Morocco,26,West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Brandon Aguilera,MF,Costa Rica,18,Asociación Deportiva Guanacasteca,2003,3,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homam Ahmed,DF,Qatar,22,Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,1,11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Manuel Akanji,DF,Switzerland,26,Manchester City,1995,4,4,360,4.0,1,0,1,1,0,0,1,0,1.0,1.0,0.1,1.1,4,16,1,0.25,0.00,0.25,0.25,0.25,0.24,0.03,0.27,0.24,0.27
Nathan Aké,DF,Netherlands,27,Manchester City,1995,5,5,479,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,12,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ahmed Alaaeldin,FW,Qatar,29,Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jordi Alba,DF,Spain,33,Barcelona,1989,4,3,264,2.9,0,2,2,0,0,0,0,0,0.0,0.0,0.9,0.9,4,31,30,0.00,0.68,0.68,0.00,0.68,0.01,0.31,0.32,0.01,0.32
Toby Alderweireld,DF,Belgium,33,Antwerp,1989,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,1,13,1,0.00,0.33,0.33,0.00,0.33,0.00,0.11,0.11,0.00,0.11
Trent Alexander-Arnold,DF,England,23,Liverpool,1998,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Almoez Ali,FW,Qatar,25,Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,2,8,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
Alisson,GK,Brazil,29,Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joe Allen,MF,Wales,32,Swansea City,1990,2,1,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15
Thiago Almada,MF,Argentina,21,Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,3.16,3.16,0.00,3.16
Roberto Alvarado,FW,Mexico,23,Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
