Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Brenden Aaronson,MF,United States,21,2000,1.2,3,2,1,1,1,0,0,,0,5,0,5,1,4,0,0
Ali Abdi,DF,Tunisia,28,1993,2.1,8,5,5,2,1,3,3,100.0,0,1,0,1,4,12,13,1
Salis Abdul Samed,MF,Ghana,22,2000,2.8,2,2,0,2,0,0,1,0.0,1,2,1,1,4,6,8,0
Saud Abdulhamid,"DF,MF",Saudi Arabia,22,1999,3.0,5,2,2,2,1,2,2,100.0,0,3,0,3,2,7,6,0
Nawaf Al Abed,MF,Saudi Arabia,32,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Pape Abou Cissé,DF,Senegal,26,1995,1.2,0,0,0,0,0,0,0,,0,2,2,0,2,2,6,0
Vincent Aboubakar,FW,Cameroon,30,1992,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Abdulrahman Al-Aboud,"MF,DF",Saudi Arabia,27,1995,0.4,3,3,2,1,0,1,5,20.0,4,0,0,0,0,3,0,0
Zakaria Aboukhlal,"FW,MF",Morocco,22,2000,0.9,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,1,0
Kellyn Acosta,MF,United States,26,1995,0.5,3,2,3,0,0,2,2,100.0,0,0,0,0,0,3,0,0
Marcos Acuña,"DF,FW",Argentina,30,1991,4.1,12,8,9,2,1,6,7,85.7,1,8,1,7,2,14,9,0
Tyler Adams,MF,United States,23,1999,4.0,11,9,7,4,0,3,7,42.9,4,6,0,6,4,15,6,0
Sam Adekugbe,DF,Canada,27,1995,1.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
Michel Aebischer,"MF,FW",Switzerland,25,1997,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Akram Afif,FW,Qatar,25,1996,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Nayef Aguerd,DF,Morocco,26,1996,3.9,4,2,4,0,0,2,2,100.0,0,3,2,1,4,8,12,0
Brandon Aguilera,MF,Costa Rica,18,2003,1.0,2,0,2,0,0,2,4,50.0,2,1,0,1,1,3,0,0
Homam Ahmed,DF,Qatar,22,1999,2.9,2,2,2,0,0,1,3,33.3,2,0,0,0,2,4,1,0
Manuel Akanji,DF,Switzerland,26,1995,4.0,4,2,2,0,2,3,4,75.0,1,4,3,1,3,7,12,0
Nathan Aké,DF,Netherlands,27,1995,5.3,6,3,4,2,0,3,3,100.0,0,3,2,1,8,14,20,0
Ahmed Alaaeldin,FW,Qatar,29,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jordi Alba,DF,Spain,33,1989,2.9,6,4,2,4,0,2,5,40.0,3,2,0,2,3,9,2,0
Toby Alderweireld,DF,Belgium,33,1989,3.0,4,2,4,0,0,2,5,40.0,3,3,1,2,0,4,19,0
Trent Alexander-Arnold,DF,England,23,1998,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
