Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Brenden Aaronson,MF,United States,21,2000,1.2,3,2.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Abdi,DF,Tunisia,28,1993,2.1,3,1.44,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Salis Abdul Samed,MF,Ghana,22,2000,2.8,4,1.44,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Saud Abdulhamid,"DF,MF",Saudi Arabia,22,1999,3.0,8,2.67,6,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Nawaf Al Abed,MF,Saudi Arabia,32,1990,1.0,3,3.10,1,1,0,1,0,0,1,1.03,0,0,0,1,0,0
Pape Abou Cissé,DF,Senegal,26,1995,1.2,1,0.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Vincent Aboubakar,FW,Cameroon,30,1992,1.6,7,4.44,2,0,4,1,0,0,2,1.27,1,0,1,0,0,0
Abdulrahman Al-Aboud,"MF,DF",Saudi Arabia,27,1995,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Zakaria Aboukhlal,"FW,MF",Morocco,22,2000,0.9,1,1.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kellyn Acosta,MF,United States,26,1995,0.5,1,2.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Acuña,"DF,FW",Argentina,30,1991,4.1,7,1.84,4,2,0,0,1,0,1,0.26,0,0,0,0,1,0
Tyler Adams,MF,United States,23,1999,4.0,3,0.75,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sam Adekugbe,DF,Canada,27,1995,1.1,2,1.89,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michel Aebischer,"MF,FW",Switzerland,25,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Akram Afif,FW,Qatar,25,1996,3.0,7,2.33,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Nayef Aguerd,DF,Morocco,26,1996,3.9,3,0.76,3,0,0,0,0,0,1,0.25,1,0,0,0,0,0
Brandon Aguilera,MF,Costa Rica,18,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Homam Ahmed,DF,Qatar,22,1999,2.9,3,1.03,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Manuel Akanji,DF,Switzerland,26,1995,4.0,2,0.50,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Nathan Aké,DF,Netherlands,27,1995,5.3,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ahmed Alaaeldin,FW,Qatar,29,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordi Alba,DF,Spain,33,1989,2.9,11,3.75,9,1,0,0,1,0,4,1.36,3,0,0,0,1,0
Toby Alderweireld,DF,Belgium,33,1989,3.0,3,1.00,3,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Trent Alexander-Arnold,DF,England,23,1998,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Almoez Ali,FW,Qatar,25,1996,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alisson,GK,Brazil,29,1992,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joe Allen,MF,Wales,32,1990,1.0,1,0.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Thiago Almada,MF,Argentina,21,2001,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Roberto Alvarado,FW,Mexico,23,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edson Álvarez,MF,Mexico,24,1997,1.9,4,2.06,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Julián Álvarez,FW,Argentina,22,2000,5.2,10,1.94,7,0,0,2,1,0,2,0.39,1,0,0,0,1,0
Kevin Álvarez,DF,Mexico,23,1999,0.8,1,1.29,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Dani Alves,DF,Brazil,39,1983,1.3,4,3.05,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Selim Amallah,MF,Morocco,25,1996,4.5,8,1.76,6,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Daniel Amartey,DF,Ghana,27,1994,2.8,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ethan Ampadu,"MF,DF",Wales,21,2000,2.8,4,1.41,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Sofyan Amrabat,MF,Morocco,25,1996,7.3,6,0.86,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulelah Al-Amri,DF,Saudi Arabia,25,1997,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joachim Andersen,DF,Denmark,26,1996,3.0,5,1.67,4,0,0,1,0,0,1,0.33,0,0,0,1,0,0
Karim Ansarifard,"FW,MF",IR Iran,32,1990,0.4,3,7.50,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Antony,FW,Brazil,22,2000,1.9,7,4.44,5,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Uriel Antuna,"FW,MF",Mexico,24,1997,0.9,1,1.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Néstor Araujo,DF,Mexico,30,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Takuma Asano,FW,Japan,27,1994,1.8,3,2.00,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Marco Asensio,FW,Spain,26,1996,2.5,2,0.79,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Assadalla,MF,Qatar,29,1993,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lawrence Ati-Zigi,GK,Ghana,25,1996,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nathaniel Atkinson,DF,Australia,23,1999,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yahya Attiat Allah,DF,Morocco,27,1995,3.5,7,2.18,6,0,0,0,1,0,2,0.62,1,0,0,0,1,0
André Ayew,"MF,FW",Ghana,32,1989,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordan Ayew,FW,Ghana,30,1991,1.5,7,4.63,3,2,0,1,1,0,2,1.32,1,0,0,0,1,0
Sardar Azmoun,FW,IR Iran,27,1995,1.4,3,2.14,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
César Azpilicueta,DF,Spain,32,1989,1.5,4,2.67,4,0,0,0,0,0,1,0.67,1,0,0,0,0,0
Srđan Babić,DF,Serbia,26,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Keanu Baccus,MF,Australia,24,1998,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexander Bah,DF,Denmark,24,1997,0.5,4,7.83,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Hattan Bahebri,MF,Saudi Arabia,29,1992,0.0,1,22.50,1,0,0,0,0,0,1,22.50,1,0,0,0,0,0
Alejandro Balde,DF,Spain,18,2003,1.4,2,1.75,1,0,0,0,1,0,1,0.87,1,0,0,0,0,0
Gareth Bale,FW,Wales,32,1989,2.5,4,1.60,3,0,0,0,1,0,1,0.40,0,0,0,0,1,0
Fodé Ballo-Touré,DF,Senegal,25,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Badr Banoun,DF,Morocco,28,1993,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Borna Barišić,DF,Croatia,29,1992,1.3,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Meshaal Barsham,GK,Qatar,24,1998,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
