Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Brenden Aaronson,MF,United States,21,2000,1.2,50,46,4,0,0,0,3,1,3,2,1,0,41,0,3
Ali Abdi,DF,Tunisia,28,1993,2.1,116,87,28,0,0,0,5,27,1,1,0,0,72,1,5
Salis Abdul Samed,MF,Ghana,22,2000,2.8,145,141,3,3,0,0,2,0,0,0,0,0,129,1,0
Saud Abdulhamid,"DF,MF",Saudi Arabia,22,1999,3.0,122,94,28,2,0,1,9,26,0,0,0,0,88,0,3
Nawaf Al Abed,MF,Saudi Arabia,32,1990,1.0,39,36,3,1,0,1,2,0,2,0,1,0,33,0,0
Pape Abou Cissé,DF,Senegal,26,1995,1.2,37,36,1,1,0,1,0,0,0,0,0,0,28,0,0
Vincent Aboubakar,FW,Cameroon,30,1992,1.6,31,31,0,0,1,0,0,0,0,0,0,0,20,0,1
Abdulrahman Al-Aboud,"MF,DF",Saudi Arabia,27,1995,0.4,13,13,0,0,0,0,2,0,0,0,0,0,8,0,2
Zakaria Aboukhlal,"FW,MF",Morocco,22,2000,0.9,14,13,1,0,0,0,1,1,0,0,0,0,7,0,1
Kellyn Acosta,MF,United States,26,1995,0.5,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0
Marcos Acuña,"DF,FW",Argentina,30,1991,4.1,217,182,34,4,1,2,17,26,4,0,4,0,167,1,6
Tyler Adams,MF,United States,23,1999,4.0,271,255,14,11,1,4,2,3,0,0,0,0,241,2,4
Sam Adekugbe,DF,Canada,27,1995,1.1,71,62,9,1,0,0,5,8,0,0,0,0,63,0,2
Michel Aebischer,"MF,FW",Switzerland,25,1997,0.2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Akram Afif,FW,Qatar,25,1996,3.0,165,142,22,8,1,2,13,2,6,4,1,0,139,1,4
Nayef Aguerd,DF,Morocco,26,1996,3.9,158,148,10,9,0,2,0,0,0,0,0,0,137,0,1
Brandon Aguilera,MF,Costa Rica,18,2003,1.0,38,35,2,2,0,1,1,0,0,0,0,0,27,1,2
Homam Ahmed,DF,Qatar,22,1999,2.9,105,81,23,1,0,2,5,22,0,0,0,0,77,1,6
Manuel Akanji,DF,Switzerland,26,1995,4.0,259,246,12,9,0,6,1,1,0,0,0,0,229,1,1
Nathan Aké,DF,Netherlands,27,1995,5.3,349,334,15,4,0,2,0,11,0,0,0,0,315,0,1
Ahmed Alaaeldin,FW,Qatar,29,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Jordi Alba,DF,Spain,33,1989,2.9,372,330,40,6,2,0,14,34,0,0,0,0,328,2,6
Toby Alderweireld,DF,Belgium,33,1989,3.0,273,270,3,3,2,2,2,0,0,0,0,0,248,0,2
Trent Alexander-Arnold,DF,England,23,1998,0.4,23,20,2,1,0,0,0,1,0,0,0,0,21,1,0
Almoez Ali,FW,Qatar,25,1996,2.5,45,42,3,0,0,0,0,0,0,0,0,0,33,0,1
Alisson,GK,Brazil,29,1992,4.2,93,65,28,9,0,0,0,0,0,0,0,0,80,0,1
Joe Allen,MF,Wales,32,1990,1.0,36,34,2,2,0,0,0,0,0,0,0,0,30,0,1
Thiago Almada,MF,Argentina,21,2001,0.1,13,13,0,0,0,0,0,0,0,0,0,0,13,0,0
Roberto Alvarado,FW,Mexico,23,1998,0.2,10,9,1,0,0,0,2,1,0,0,0,0,5,0,0
Edson Álvarez,MF,Mexico,24,1997,1.9,114,111,3,3,1,0,0,0,0,0,0,0,86,0,1
Julián Álvarez,FW,Argentina,22,2000,5.2,121,117,4,0,2,1,3,2,0,0,0,0,93,0,5
Kevin Álvarez,DF,Mexico,23,1999,0.8,29,20,9,0,0,0,1,9,0,0,0,0,19,0,1
Dani Alves,DF,Brazil,39,1983,1.3,97,82,15,4,0,0,6,11,0,0,0,0,83,0,0
Selim Amallah,MF,Morocco,25,1996,4.5,87,85,2,1,0,0,2,0,0,0,0,0,65,0,2
Daniel Amartey,DF,Ghana,27,1994,2.8,141,136,5,5,0,1,0,0,0,0,0,0,128,0,3
Ethan Ampadu,"MF,DF",Wales,21,2000,2.8,144,134,9,4,1,2,2,5,0,0,0,0,108,1,5
Sofyan Amrabat,MF,Morocco,25,1996,7.3,322,307,10,8,0,5,2,1,0,0,0,0,269,5,2
Abdulelah Al-Amri,DF,Saudi Arabia,25,1997,2.0,104,99,5,4,0,6,1,1,0,0,0,0,74,0,1
Joachim Andersen,DF,Denmark,26,1996,3.0,250,246,3,3,0,8,1,0,0,0,0,0,198,1,2
Karim Ansarifard,"FW,MF",IR Iran,32,1990,0.4,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Antony,FW,Brazil,22,2000,1.9,109,100,9,1,0,0,10,0,8,4,0,0,86,0,1
Uriel Antuna,"FW,MF",Mexico,24,1997,0.9,20,19,1,0,0,0,7,1,0,0,0,0,12,0,3
Néstor Araujo,DF,Mexico,30,1991,1.0,53,48,5,0,0,0,2,5,0,0,0,0,44,0,1
Takuma Asano,FW,Japan,27,1994,1.8,28,28,0,0,0,0,1,0,0,0,0,0,21,0,0
Marco Asensio,FW,Spain,26,1996,2.5,119,113,5,2,0,2,8,1,2,0,0,0,89,1,2
Ali Assadalla,MF,Qatar,29,1993,0.3,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0
Lawrence Ati-Zigi,GK,Ghana,25,1996,3.0,78,39,39,8,0,0,0,0,0,0,0,0,54,0,0
Nathaniel Atkinson,DF,Australia,23,1999,0.9,34,24,10,2,0,1,0,8,0,0,0,0,27,0,0
Yahya Attiat Allah,DF,Morocco,27,1995,3.5,137,110,27,2,0,0,8,25,0,0,0,0,98,0,4
André Ayew,"MF,FW",Ghana,32,1989,2.2,37,30,7,1,0,0,0,1,0,0,0,0,30,0,0
Jordan Ayew,FW,Ghana,30,1991,1.5,46,34,12,2,0,0,8,2,6,6,0,0,35,0,2
Sardar Azmoun,FW,IR Iran,27,1995,1.4,30,27,2,0,0,0,0,0,0,0,0,0,18,1,1
César Azpilicueta,DF,Spain,32,1989,1.5,181,162,18,7,1,0,3,11,0,0,0,0,171,1,1
Srđan Babić,DF,Serbia,26,1996,0.1,16,15,1,0,0,1,0,1,0,0,0,0,10,0,0
Keanu Baccus,MF,Australia,24,1998,1.3,41,41,0,0,1,1,0,0,0,0,0,0,26,0,1
Alexander Bah,DF,Denmark,24,1997,0.5,53,46,7,0,0,0,4,7,0,0,0,0,37,0,1
Hattan Bahebri,MF,Saudi Arabia,29,1992,0.0,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Alejandro Balde,DF,Spain,18,2003,1.4,123,111,12,1,1,0,2,11,0,0,0,0,112,0,0
Gareth Bale,FW,Wales,32,1989,2.5,53,49,4,0,0,3,2,2,0,0,0,0,33,0,2
Fodé Ballo-Touré,DF,Senegal,25,1997,0.1,8,7,1,0,0,0,2,1,0,0,0,0,5,0,1
Badr Banoun,DF,Morocco,28,1993,0.6,22,21,1,1,0,0,0,0,0,0,0,0,21,0,0
Borna Barišić,DF,Croatia,29,1992,1.3,69,56,13,2,0,0,11,11,0,0,0,0,50,0,0
Meshaal Barsham,GK,Qatar,24,1998,2.0,63,38,24,4,0,0,0,0,0,0,0,0,45,1,0
Christian Bassogog,MF,Cameroon,26,1995,0.3,9,9,0,0,0,0,2,0,0,0,0,0,5,0,3
Michy Batshuayi,FW,Belgium,28,1993,1.7,24,22,2,0,0,0,0,0,0,0,0,0,16,0,1
Jan Bednarek,DF,Poland,26,1996,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Aziz Behich,DF,Australia,31,1990,4.0,203,156,47,3,0,0,5,44,0,0,0,0,152,0,5
Alireza Beiranvand,GK,IR Iran,29,1992,1.2,31,22,9,0,0,0,0,0,0,0,0,0,20,0,0
Jude Bellingham,MF,England,18,2003,4.6,265,258,6,2,1,3,4,1,0,0,0,0,235,1,5
Anis Ben Slimane,MF,Tunisia,21,2001,1.6,46,37,8,0,0,0,8,2,6,2,3,1,29,1,2
Jewison Bennette,MF,Costa Rica,17,2004,1.1,14,14,0,0,0,0,2,0,0,0,0,0,11,0,1
Rodrigo Bentancur,MF,Uruguay,24,1997,2.4,160,152,8,6,0,0,2,2,0,0,0,0,136,0,2
Bartosz Bereszyński,DF,Poland,29,1992,3.8,156,112,44,5,0,0,4,39,0,0,0,0,122,0,6
Steven Berghuis,MF,Netherlands,30,1991,2.2,131,121,10,6,0,1,13,2,2,1,0,0,97,0,2
Steven Bergwijn,FW,Netherlands,24,1997,2.4,72,71,1,0,1,0,0,1,0,0,0,0,64,0,1
Krystian Bielik,MF,Poland,24,1998,2.4,99,96,3,3,0,3,0,0,0,0,0,0,86,0,2
Daley Blind,DF,Netherlands,32,1990,4.7,300,266,34,4,0,2,6,29,1,0,0,0,252,0,1
Celso Borges,MF,Costa Rica,34,1988,2.8,120,111,7,7,1,3,2,0,0,0,0,0,98,2,1
Milan Borjan,GK,Canada,34,1987,3.0,98,72,25,10,0,1,0,0,0,0,0,0,76,1,0
Karim Boudiaf,MF,Qatar,31,1990,2.1,106,103,3,3,0,2,0,0,0,0,0,0,94,0,0
Sofiane Boufal,FW,Morocco,28,1993,5.3,133,130,1,1,0,4,7,0,0,0,0,0,99,2,2
Yassine Bounou,GK,Morocco,31,1991,6.3,209,134,73,17,0,1,0,0,0,0,0,0,154,2,0
Martin Braithwaite,"FW,MF",Denmark,31,1991,1.1,20,19,1,0,0,1,0,0,0,0,0,0,14,0,4
Mohammed Al-Breik,DF,Saudi Arabia,29,1992,0.7,48,42,6,1,0,0,2,5,0,0,0,0,39,0,0
Gleison Bremer,DF,Brazil,25,1997,1.2,84,81,2,0,0,0,0,2,0,0,0,0,78,1,0
Dylan Bronn,DF,Tunisia,26,1995,1.8,98,89,8,3,1,1,0,5,0,0,0,0,75,1,2
Marcelo Brozović,MF,Croatia,29,1992,6.1,530,513,16,16,1,2,4,0,0,0,0,0,466,1,12
Tajon Buchanan,"MF,DF",Canada,23,1999,2.9,89,81,8,0,0,0,8,8,0,0,0,0,61,0,4
Ante Budimir,FW,Croatia,30,1991,0.6,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1
Osman Bukari,MF,Ghana,23,1998,0.7,20,19,0,0,0,0,1,0,0,0,0,0,14,1,1
Ali Al-Bulaihi,DF,Saudi Arabia,32,1989,2.4,97,87,10,4,0,1,0,6,0,0,0,0,78,0,0
Firas Al-Buraikan,"MF,FW",Saudi Arabia,22,2000,3.0,63,62,0,0,0,0,2,0,0,0,0,0,42,1,7
Sergio Busquets,MF,Spain,33,1988,4.0,289,278,11,10,0,1,0,1,0,0,0,0,261,0,2
Martín Cáceres,DF,Uruguay,35,1987,1.0,79,66,13,1,0,0,0,12,0,0,0,0,68,0,0
Moisés Caicedo,MF,Ecuador,20,2001,3.0,153,149,4,4,0,0,0,0,0,0,0,0,126,0,3
Francisco Calvo,DF,Costa Rica,29,1992,2.0,104,93,11,4,0,3,0,6,0,0,0,0,86,0,0
Eduardo Camavinga,DF,France,19,2002,1.6,101,88,13,2,0,0,2,11,0,0,0,0,88,0,3
Joel Campbell,"FW,MF",Costa Rica,29,1992,3.0,138,116,19,6,0,5,7,2,1,1,0,0,104,3,4
João Cancelo,DF,Portugal,28,1994,3.4,271,240,31,4,0,8,15,27,0,0,0,0,221,0,5
Agustín Canobbio,MF,Uruguay,23,1998,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Yannick Carrasco,"FW,DF",Belgium,28,1993,1.3,46,43,3,1,1,0,2,2,0,0,0,0,39,0,0
Cameron Carter-Vickers,DF,United States,24,1997,1.0,58,54,4,4,0,1,0,0,0,0,0,0,50,0,0
Dani Carvajal,DF,Spain,30,1992,1.5,135,109,26,7,0,0,0,19,0,0,0,0,121,0,4
William Carvalho,MF,Portugal,30,1992,2.4,170,164,5,5,0,0,0,0,0,0,0,0,156,1,1
Casemiro,MF,Brazil,30,1992,4.3,251,246,4,4,1,3,2,0,0,0,0,0,208,1,3
Matty Cash,DF,Poland,24,1997,4.0,160,127,33,3,0,2,9,30,0,0,0,0,123,0,6
Timothy Castagne,DF,Belgium,26,1995,3.0,202,183,19,4,0,0,3,15,0,0,0,0,176,0,4
Jean-Charles Castelletto,DF,Cameroon,27,1995,2.0,82,77,5,5,1,2,3,0,0,0,0,0,66,0,0
Lucas Cavallini,FW,Canada,29,1992,0.2,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0
Edinson Cavani,FW,Uruguay,35,1987,1.4,37,36,1,0,0,0,0,0,1,0,0,0,27,0,2
Ghaylène Chaalali,MF,Tunisia,28,1994,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
