Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Brenden Aaronson,MF,United States,21,2000,1.2,80,1,9,41,31,8,80,11,2,18.2,5,45.5,49,258,126,2,2,0,8,4,54,6
Ali Abdi,DF,Tunisia,28,1993,2.1,154,16,66,61,27,3,154,2,1,50.0,1,50.0,50,214,71,1,0,1,5,4,67,17
Salis Abdul Samed,MF,Ghana,22,2000,2.8,170,15,64,82,25,0,170,4,3,75.0,0,0.0,106,689,313,3,1,0,4,2,121,1
Saud Abdulhamid,"DF,MF",Saudi Arabia,22,1999,3.0,154,11,37,61,57,5,154,4,2,50.0,1,25.0,71,416,266,6,5,1,4,1,75,17
Nawaf Al Abed,MF,Saudi Arabia,32,1990,1.0,51,0,1,23,28,4,51,2,1,50.0,1,50.0,36,279,85,4,3,1,6,5,42,7
Pape Abou Cissé,DF,Senegal,26,1995,1.2,49,10,35,12,2,2,49,1,1,100.0,0,0.0,32,146,71,0,0,0,0,0,32,0
Vincent Aboubakar,FW,Cameroon,30,1992,1.6,48,5,7,19,22,7,48,7,5,71.4,2,28.6,30,182,79,4,2,3,3,0,34,9
Abdulrahman Al-Aboud,"MF,DF",Saudi Arabia,27,1995,0.4,23,0,3,5,15,2,23,3,0,0.0,2,66.7,14,46,13,0,0,0,2,0,13,4
Zakaria Aboukhlal,"FW,MF",Morocco,22,2000,0.9,26,2,3,10,13,4,26,1,0,0.0,1,100.0,14,97,49,1,2,0,3,0,16,0
Kellyn Acosta,MF,United States,26,1995,0.5,16,0,3,8,5,0,16,0,0,,0,,9,41,31,1,2,0,0,0,10,2
Marcos Acuña,"DF,FW",Argentina,30,1991,4.1,271,5,71,102,101,10,271,8,2,25.0,4,50.0,159,694,308,5,6,1,7,4,163,26
Tyler Adams,MF,United States,23,1999,4.0,308,8,67,206,36,0,308,1,1,100.0,0,0.0,169,769,337,6,0,0,4,3,193,0
Sam Adekugbe,DF,Canada,27,1995,1.1,77,2,9,48,20,0,77,1,1,100.0,0,0.0,45,205,127,2,2,0,1,0,59,6
Michel Aebischer,"MF,FW",Switzerland,25,1997,0.2,4,0,0,2,2,0,4,0,0,,0,,0,0,0,0,0,0,0,0,4,0
Akram Afif,FW,Qatar,25,1996,3.0,182,1,11,122,50,2,182,7,3,42.9,3,42.9,132,731,294,7,9,2,5,5,143,11
Nayef Aguerd,DF,Morocco,26,1996,3.9,184,41,131,53,1,1,184,0,0,,0,,123,559,265,0,0,0,1,0,118,0
Brandon Aguilera,MF,Costa Rica,18,2003,1.0,44,1,17,25,3,0,44,3,2,66.7,0,0.0,31,147,67,1,1,0,1,3,31,4
Homam Ahmed,DF,Qatar,22,1999,2.9,118,3,27,58,34,1,118,5,3,60.0,2,40.0,60,297,133,4,3,0,4,2,69,11
Manuel Akanji,DF,Switzerland,26,1995,4.0,290,40,146,134,12,6,290,0,0,,0,,195,1388,913,4,0,0,0,1,215,1
Nathan Aké,DF,Netherlands,27,1995,5.3,393,29,167,211,16,1,393,2,0,0.0,0,0.0,250,1611,1082,12,6,0,1,0,288,3
Ahmed Alaaeldin,FW,Qatar,29,1993,0.1,2,0,0,2,0,0,2,0,0,,0,,1,3,3,0,0,0,0,0,1,0
Jordi Alba,DF,Spain,33,1989,2.9,395,4,63,224,110,1,395,3,2,66.7,1,33.3,218,617,361,4,4,0,4,0,305,30
Toby Alderweireld,DF,Belgium,33,1989,3.0,302,40,171,127,8,1,302,0,0,,0,,213,735,404,1,1,0,2,0,243,1
Trent Alexander-Arnold,DF,England,23,1998,0.4,24,0,10,12,2,0,24,0,0,,0,,16,32,18,0,0,0,0,0,15,0
Almoez Ali,FW,Qatar,25,1996,2.5,66,1,5,41,20,6,66,3,0,0.0,2,66.7,41,216,31,2,0,0,6,3,47,8
Alisson,GK,Brazil,29,1992,4.2,100,87,99,1,0,0,100,0,0,,0,,53,304,181,0,0,0,1,0,43,1
Joe Allen,MF,Wales,32,1990,1.0,53,4,17,29,7,0,53,0,0,,0,,19,57,8,0,0,0,5,0,27,1
Thiago Almada,MF,Argentina,21,2001,0.1,15,0,0,8,7,0,15,0,0,,0,,15,57,13,1,1,0,2,0,15,1
Roberto Alvarado,FW,Mexico,23,1998,0.2,12,0,0,5,7,0,12,1,0,0.0,1,100.0,9,56,34,2,1,0,0,0,10,2
Edson Álvarez,MF,Mexico,24,1997,1.9,131,1,32,87,13,0,131,1,1,100.0,0,0.0,74,502,257,5,3,0,1,2,72,0
Julián Álvarez,FW,Argentina,22,2000,5.2,176,1,20,64,94,21,176,4,0,0.0,3,75.0,107,497,259,13,5,8,11,7,120,22
Kevin Álvarez,DF,Mexico,23,1999,0.8,38,1,10,12,16,2,38,3,1,33.3,2,66.7,20,85,40,1,1,1,0,1,16,5
Dani Alves,DF,Brazil,39,1983,1.3,113,4,22,60,33,1,113,2,1,50.0,0,0.0,57,212,112,0,1,0,1,2,70,4
Selim Amallah,MF,Morocco,25,1996,4.5,147,5,30,88,29,5,147,7,1,14.3,2,28.6,81,381,138,3,4,1,15,5,81,7
Daniel Amartey,DF,Ghana,27,1994,2.8,172,25,102,67,5,1,172,1,1,100.0,0,0.0,99,402,239,0,1,0,0,1,119,1
Ethan Ampadu,"MF,DF",Wales,21,2000,2.8,178,12,48,108,23,0,178,3,2,66.7,1,33.3,78,507,298,4,2,0,0,3,103,4
Sofyan Amrabat,MF,Morocco,25,1996,7.3,382,23,143,224,18,0,382,5,0,0.0,2,40.0,249,1453,780,9,2,0,9,3,241,0
Abdulelah Al-Amri,DF,Saudi Arabia,25,1997,2.0,130,12,59,65,7,2,130,0,0,,0,,71,507,354,3,0,0,1,0,63,0
Joachim Andersen,DF,Denmark,26,1996,3.0,279,20,99,164,17,4,279,1,0,0.0,1,100.0,196,995,654,7,2,0,1,1,197,0
Karim Ansarifard,"FW,MF",IR Iran,32,1990,0.4,11,0,1,5,5,2,11,0,0,,0,,7,67,20,1,1,1,2,1,6,2
Antony,FW,Brazil,22,2000,1.9,148,0,14,53,85,8,148,16,4,25.0,9,56.3,93,589,266,8,11,2,6,6,113,20
Uriel Antuna,"FW,MF",Mexico,24,1997,0.9,33,0,2,14,18,1,33,1,0,0.0,0,0.0,23,111,46,3,1,0,6,0,25,14
Néstor Araujo,DF,Mexico,30,1991,1.0,60,1,14,40,6,0,60,0,0,,0,,41,169,84,4,1,0,0,1,37,0
Takuma Asano,FW,Japan,27,1994,1.8,49,2,6,16,28,9,49,1,0,0.0,1,100.0,29,229,115,5,4,2,7,1,28,11
Marco Asensio,FW,Spain,26,1996,2.5,148,1,4,56,88,13,148,3,0,0.0,2,66.7,89,439,180,6,3,5,12,3,128,26
Ali Assadalla,MF,Qatar,29,1993,0.3,24,0,5,14,6,0,24,1,1,100.0,0,0.0,12,109,68,4,4,0,0,0,22,0
Lawrence Ati-Zigi,GK,Ghana,25,1996,3.0,87,79,87,0,0,0,87,0,0,,0,,38,209,124,0,0,0,0,0,23,0
Nathaniel Atkinson,DF,Australia,23,1999,0.9,44,4,15,22,7,0,44,2,0,0.0,2,100.0,18,121,62,2,1,0,0,3,18,2
