Player,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Brenden Aaronson,MF,United States,21,2000,1.2,0,1,0,0.0,0.83,0.00,0.00,,4.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Ali Abdi,DF,Tunisia,28,1993,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Salis Abdul Samed,MF,Ghana,22,2000,2.8,0,1,0,0.0,0.36,0.00,0.00,,26.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Saud Abdulhamid,"DF,MF",Saudi Arabia,22,1999,3.0,0,1,0,0.0,0.33,0.00,0.00,,34.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Nawaf Al Abed,MF,Saudi Arabia,32,1990,1.0,0,2,0,0.0,2.05,0.00,0.00,,21.1,1,0,0,0.1,0.1,0.07,-0.1,-0.1
Pape Abou Cissé,DF,Senegal,26,1995,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Vincent Aboubakar,FW,Cameroon,30,1992,1.6,2,6,3,50.0,3.80,1.90,0.33,0.67,17.8,0,0,0,0.6,0.6,0.10,+1.4,+1.4
Abdulrahman Al-Aboud,"MF,DF",Saudi Arabia,27,1995,0.4,0,1,0,0.0,2.57,0.00,0.00,,4.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Zakaria Aboukhlal,"FW,MF",Morocco,22,2000,0.9,1,3,2,66.7,3.42,2.28,0.33,0.50,14.9,0,0,0,1.0,1.0,0.33,0.0,0.0
Kellyn Acosta,MF,United States,26,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marcos Acuña,"DF,FW",Argentina,30,1991,4.1,0,2,0,0.0,0.48,0.00,0.00,,17.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Tyler Adams,MF,United States,23,1999,4.0,0,1,0,0.0,0.25,0.00,0.00,,30.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Sam Adekugbe,DF,Canada,27,1995,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michel Aebischer,"MF,FW",Switzerland,25,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Akram Afif,FW,Qatar,25,1996,3.0,0,2,0,0.0,0.67,0.00,0.00,,29.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Nayef Aguerd,DF,Morocco,26,1996,3.9,0,1,0,0.0,0.25,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Brandon Aguilera,MF,Costa Rica,18,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Homam Ahmed,DF,Qatar,22,1999,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Manuel Akanji,DF,Switzerland,26,1995,4.0,1,4,1,25.0,1.00,0.25,0.25,1.00,12.6,1,0,0,1.0,1.0,0.24,0.0,0.0
Nathan Aké,DF,Netherlands,27,1995,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ahmed Alaaeldin,FW,Qatar,29,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordi Alba,DF,Spain,33,1989,2.9,0,2,0,0.0,0.68,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Toby Alderweireld,DF,Belgium,33,1989,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
