Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Junior Adamu,AUT,AT,Freiburg,23-131,2001,6,6,498,5.5,2,1,3,2,0,0,2,0,2.2,2.2,1.4,3.6,4,3,23,0.36,0.18,0.54,0.36,0.54,0.41,0.25,0.66,0.41,0.66
Karim Adeyemi,GER,"AT,MT",Dortmund,22-271,2002,5,4,305,3.4,2,3,5,2,0,0,0,0,0.7,0.7,1.7,2.4,12,3,29,0.59,0.89,1.48,0.59,1.48,0.22,0.49,0.71,0.22,0.71
Amine Adli,MAR,"MT,AT",Leverkusen,24-158,2000,6,1,142,1.6,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,8,4,20,0.00,0.00,0.00,0.00,0.00,0.25,0.01,0.26,0.25,0.26
Oladapo Afolayan,ENG,"AT,MT",St. Pauli,26-246,1998,6,3,340,3.8,1,0,1,1,0,0,0,0,1.1,1.1,0.4,1.5,9,8,23,0.26,0.00,0.26,0.26,0.26,0.29,0.11,0.40,0.29,0.40
Felix Agu,GER,DF,Werder Bremen,25-018,1999,6,6,500,5.6,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.9,12,10,44,0.18,0.00,0.18,0.18,0.18,0.08,0.08,0.16,0.08,0.16
Kevin Akpoguma,NGA,DF,Hoffenheim,29-179,1995,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,26,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Andreas Albers,DEN,AT,St. Pauli,34-206,1990,4,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,4,0.00,0.00,0.00,0.00,0.00,0.35,0.35,0.70,0.35,0.70
Skelly Alvero,FRA,MT,Werder Bremen,22-164,2002,5,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aurele Amenda,SUI,DF,Eint Frankfurt,21-076,2003,2,1,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nadiem Amiri,GER,MT,Mainz 05,27-354,1996,5,5,382,4.2,2,2,4,1,1,1,2,1,1.1,0.3,1.1,1.5,6,26,8,0.47,0.47,0.94,0.24,0.71,0.26,0.27,0.53,0.08,0.35
Mohamed Amoura,ALG,AT,Wolfsburg,24-159,2000,4,3,308,3.4,1,4,5,1,0,0,2,0,1.1,1.1,1.0,2.1,9,6,30,0.29,1.17,1.46,0.29,1.46,0.32,0.30,0.62,0.32,0.62
Robert Andrich,GER,"MT,DF",Leverkusen,30-023,1994,4,4,319,3.5,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,0,15,4,0.28,0.00,0.28,0.28,0.28,0.05,0.01,0.06,0.05,0.06
Waldemar Anton,GER,DF,Dortmund,28-087,1996,6,6,540,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,9,30,6,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Maximilian Arnold,GER,MT,Wolfsburg,30-141,1994,6,6,535,5.9,1,1,2,1,0,0,4,0,0.1,0.1,0.2,0.3,0,20,2,0.17,0.17,0.34,0.17,0.34,0.02,0.03,0.05,0.02,0.05
Jann-Fiete Arp,GER,"AT,MT",Holstein Kiel,24-283,2000,6,0,177,2.0,1,0,1,0,1,1,1,0,1.1,0.3,0.3,0.6,3,2,14,0.51,0.00,0.51,0.00,0.00,0.54,0.14,0.68,0.14,0.28
Arthur,BRA,DF,Leverkusen,21-212,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Noah Atubolu,GER,GB,Freiburg,22-143,2002,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
