Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Abel,ESP,DF,Osasuna,24-055,2000,8,7,611,6.8,2,0,2,2,0,0,1,0,0.2,0.2,0.3,0.5,13,29,14,0.29,0.00,0.29,0.29,0.29,0.03,0.04,0.08,0.03,0.08
Nabil Aberdin,FRA,MT,Getafe,22-053,2002,5,3,232,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Abdel Abqar,MAR,DF,Alavés,25-219,1999,9,9,678,7.5,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,6,20,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Julen Agirrezabala,ESP,GB,Athletic Club,23-294,2000,6,6,486,5.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucien Agoume,FRA,MT,Sevilla,22-249,2002,9,6,536,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,8,29,10,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Álvaro Aguado,ESP,MT,Espanyol,28-167,1996,7,2,228,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,19,2,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10
Nayef Aguerd,MAR,DF,Real Sociedad,28-199,1996,5,5,424,4.7,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,7,20,0,0.00,0.00,0.00,0.00,0.00,0.19,0.01,0.19,0.19,0.19
Joseph Aidoo,GHA,DF,Celta Vigo,29-016,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ilias Akhomach,MAR,MT,Villarreal,20-182,2004,8,4,390,4.3,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.1,20,6,44,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.25,0.07,0.25
Raúl Albiol,ESP,DF,Villarreal,39-041,1985,7,6,468,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,5,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Omar Alderete,PAR,DF,Getafe,27-294,1996,8,8,720,8.0,0,0,0,0,0,0,1,0,0.4,0.4,0.6,1.0,7,35,0,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.13,0.04,0.13
Carles Aleñá,ESP,"MT,AT",Getafe,26-284,1998,6,3,305,3.4,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,2,8,7,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
Alfon,ESP,"AT,MT",Celta Vigo,25-164,1999,4,2,187,2.1,0,0,0,0,0,0,0,1,0.7,0.7,0.3,1.1,9,6,20,0.00,0.00,0.00,0.00,0.00,0.35,0.17,0.52,0.35,0.52
Domingos André Ribeiro Almeida,POR,"AT,MT",Valencia,24-138,2000,8,5,418,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,8,31,17,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.08,0.03,0.08
Iker Almena,ESP,"AT,DF",Girona,20-164,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33
Marcos Alonso,ESP,"DF,MT",Celta Vigo,33-292,1990,5,3,372,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,12,34,18,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
Adrià Altimira,ESP,"AT,DF",Leganés,23-201,2001,5,3,268,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,6,14,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
