Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Keyliane Abdallah,FRA,AT,Marseille,18-193,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yunis Abdelhamid,MAR,DF,Saint-Étienne,37-017,1987,5,5,450,5.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,2,10,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05
Himad Abdelli,ALG,"MT,AT",Angers,24-333,1999,7,7,619,6.9,2,0,2,0,2,2,0,0,1.9,0.3,1.0,1.3,28,47,32,0.29,0.00,0.29,0.00,0.00,0.27,0.15,0.42,0.04,0.19
Mohamed Abdelmoneim,EGY,DF,Nice,25-257,1999,3,2,158,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ali Abdi,TUN,"DF,MT",Nice,30-300,1993,4,2,222,2.5,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.1,3,4,13,0.41,0.00,0.41,0.41,0.41,0.22,0.22,0.44,0.22,0.44
Matthis Abline,FRA,AT,Nantes,21-201,2003,7,7,556,6.2,1,0,1,1,0,0,1,0,1.3,1.3,0.6,2.0,16,17,43,0.16,0.00,0.16,0.16,0.16,0.22,0.10,0.32,0.22,0.32
Abner,BRA,DF,Lyon,24-141,2000,7,6,465,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,13,20,34,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10
Zakaria Aboukhlal,MAR,"MT,AT",Toulouse,24-240,2000,7,6,476,5.3,1,0,1,1,0,1,0,0,3.3,2.5,0.1,2.6,8,6,39,0.19,0.00,0.19,0.19,0.19,0.62,0.02,0.64,0.47,0.49
Akor Adams,NGA,AT,Montpellier,24-260,2000,7,6,551,6.1,3,1,4,3,0,0,2,0,2.9,2.9,0.6,3.4,4,3,25,0.49,0.16,0.65,0.49,0.65,0.47,0.09,0.56,0.47,0.56
Martin Adeline,FRA,MT,Reims,20-318,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adryelson,BRA,DF,Lyon,26-206,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emmanuel Agbadou,CIV,DF,Reims,27-120,1997,7,7,630,7.0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,4,34,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07
Ruben Aguilar,FRA,DF,Lens,31-172,1993,5,3,270,3.0,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.8,2,14,28,0.00,0.33,0.33,0.00,0.33,0.05,0.23,0.28,0.05,0.28
Jean-Eudes Aholou,CIV,MT,Angers,30-209,1994,6,6,463,5.1,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,7,22,6,0.00,0.00,0.00,0.00,0.00,0.13,0.04,0.17,0.13,0.17
Ayman Aiki,FRA,"AT,MT",Saint-Étienne,19-112,2005,3,1,87,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,6,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Ludovic Ajorque,FRA,AT,Brest,30-233,1994,7,6,491,5.5,2,0,2,2,0,0,1,0,1.2,1.2,0.3,1.5,1,6,24,0.37,0.00,0.37,0.37,0.37,0.23,0.05,0.28,0.23,0.28
Ümit Akdag,ROU,DF,Toulouse,21-009,2003,1,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Akieme,ESP,DF,Reims,26-304,1997,4,4,360,4.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,10,8,7,0.25,0.00,0.25,0.25,0.25,0.04,0.01,0.05,0.04,0.05
Maghnes Akliouche,FRA,"AT,MT",Monaco,22-233,2002,6,4,380,4.2,0,1,1,0,0,0,0,0,1.0,1.0,0.8,1.8,17,29,32,0.00,0.24,0.24,0.00,0.24,0.23,0.18,0.42,0.23,0.42
Clément Akpa,CIV,DF,Auxerre,22-326,2001,6,5,431,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,15,26,23,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.02,0.08
Mohamed Ali Cho,FRA,AT,Nice,20-270,2004,6,6,428,4.8,2,0,2,2,0,0,0,0,1.2,1.2,0.7,1.9,13,9,37,0.42,0.00,0.42,0.42,0.42,0.25,0.15,0.40,0.25,0.40
Jim Allevinah,GAB,AT,Angers,29-231,1995,4,3,223,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,13,18,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.10,0.08,0.10
Jordan Amavi,FRA,DF,Brest,30-220,1994,5,4,344,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,9,13,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Kelvin Amian,FRA,DF,Nantes,26-250,1998,6,5,467,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,13,22,20,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Michael Amir Murillo,PAN,DF,Marseille,28-247,1996,7,7,627,7.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,25,20,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Mathis Amougou,FRA,MT,Saint-Étienne,18-271,2006,7,7,537,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,26,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Benjamin André,FRA,MT,Lille,34-073,1990,6,6,532,5.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,5,49,9,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
Dennis Appiah,FRA,DF,Saint-Étienne,32-128,1992,6,4,437,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,10,24,14,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
