Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Tosin Adarabioyo,ENG,DF,Chelsea,27-021,1997,3,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Simon Adingra,CIV,"AT,MT",Brighton,22-288,2002,5,1,137,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,5,2,35,0.66,0.66,1.31,0.66,1.31,0.22,0.31,0.53,0.22,0.53
Ola Aina,NGA,DF,Nott'ham Forest,28-007,1996,7,7,593,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,16,26,9,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
Rayan Aït-Nouri,ALG,"DF,MT",Wolves,23-131,2001,7,7,563,6.3,2,2,4,2,0,0,3,0,1.0,1.0,1.0,2.0,13,25,25,0.32,0.32,0.64,0.32,0.64,0.16,0.16,0.31,0.16,0.31
Kristoffer Ajer,NOR,DF,Brentford,26-181,1998,7,7,546,6.1,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,12,19,11,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08
Manuel Akanji,SUI,DF,Manchester City,29-088,1995,7,7,601,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,14,63,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
Nathan Aké,NED,DF,Manchester City,29-240,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carlos Alcaraz,ARG,MT,Southampton,21-320,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48
Trent Alexander-Arnold,ENG,DF,Liverpool,26-008,1998,7,7,582,6.5,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,19,41,25,0.00,0.15,0.15,0.00,0.15,0.05,0.32,0.38,0.05,0.38
Alisson,BRA,GB,Liverpool,32-013,1992,6,6,528,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
