Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
James Abankwah,IRL,DF,Udinese,20-273,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oliver Abildgaard,DEN,MT,Como,28-127,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tammy Abraham,ENG,AT,Roma,27-013,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tammy Abraham,ENG,AT,Milan,27-013,1997,5,4,347,3.9,1,1,2,0,1,2,0,0,2.9,1.3,0.3,1.6,1,3,23,0.26,0.26,0.52,0.00,0.26,0.76,0.08,0.84,0.33,0.41
Federico Accornero,ITA,MT,Genoa,20-253,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francesco Acerbi,ITA,DF,Inter,36-248,1988,6,6,540,6.0,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.3,5,25,4,0.00,0.17,0.17,0.00,0.17,0.03,0.03,0.06,0.03,0.06
Che Adams,SCO,"AT,MT",Torino,28-094,1996,7,4,386,4.3,3,1,4,3,0,0,0,0,1.5,1.5,0.7,2.2,3,4,20,0.70,0.23,0.93,0.70,0.93,0.35,0.17,0.52,0.35,0.52
Yacine Adli,FRA,MT,Fiorentina,24-078,2000,5,1,143,1.6,1,1,2,1,0,0,0,0,0.0,0.0,0.2,0.2,5,7,2,0.63,0.63,1.26,0.63,1.26,0.02,0.11,0.13,0.02,0.13
Michel Aebischer,SUI,MT,Bologna,27-283,1997,7,5,378,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,19,9,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
Honest Ahanor,ITA,DF,Genoa,16-235,2008,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Akpan Ankeye,NGA,AT,Genoa,22-244,2002,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faride Alidou,GER,"AT,MT",Hellas Verona,23-089,2001,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Pontus Almqvist,SWE,AT,Parma,25-097,1999,6,0,169,1.9,1,1,2,1,0,0,0,0,0.5,0.5,0.8,1.3,11,2,14,0.53,0.53,1.07,0.53,1.07,0.25,0.44,0.70,0.25,0.70
Giorgio Altare,ITA,DF,Venezia,26-067,1998,3,2,194,2.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,4,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Sofyan Amrabat,MAR,MT,Fiorentina,28-055,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Angeliño,ESP,DF,Roma,27-285,1997,7,7,610,6.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,17,63,23,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.07
Lorenzo Anghelè,ITA,AT,Juventus,19-232,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faustino Anjorin,ENG,MT,Empoli,22-327,2001,4,3,219,2.4,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.5,7,8,4,0.00,0.41,0.41,0.00,0.41,0.06,0.16,0.22,0.06,0.22
Marko Arnautović,AUT,AT,Inter,35-179,1989,3,0,40,0.4,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,1,3,9,0.00,0.00,0.00,0.00,0.00,1.96,0.00,1.96,1.96,1.96
Kristjan Asllani,ALB,MT,Inter,22-220,2002,5,1,145,1.6,0,0,0,0,0,0,2,0,0.4,0.4,0.6,1.0,3,11,7,0.00,0.00,0.00,0.00,0.00,0.22,0.37,0.59,0.22,0.59
Arthur Atta,FRA,MT,Udinese,21-275,2003,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16
Emil Audero,ITA,GB,Como,27-271,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tommaso Augello,ITA,"DF,AT",Cagliari,30-046,1994,7,6,492,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.6,14,24,23,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.12,0.01,0.12
Carlos Augusto,BRA,DF,Inter,25-282,1999,6,1,190,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,10,11,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Yann Aurel Bisseck,GER,DF,Inter,23-321,2000,3,3,225,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6,19,14,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
Paulo Azzi,BRA,DF,Cagliari,30-092,1994,5,4,336,3.7,0,0,0,0,0,0,1,0,0.5,0.5,0.9,1.4,14,12,19,0.00,0.00,0.00,0.00,0.00,0.14,0.24,0.38,0.14,0.38
Milan Badelj,CRO,MT,Genoa,35-233,1989,6,6,399,4.4,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,3,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11
Mitchel Bakker,NED,MT,Atalanta,24-117,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tommaso Baldanzi,ITA,"MT,DF",Roma,21-206,2003,7,0,156,1.7,1,1,2,1,0,0,0,0,0.6,0.6,0.1,0.7,13,4,9,0.58,0.58,1.15,0.58,1.15,0.33,0.08,0.41,0.33,0.41
Botond Balogh,HUN,DF,Parma,22-131,2002,7,7,579,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lameck Banda,ZAM,"AT,MT",Lecce,23-260,2001,5,2,240,2.7,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.0,10,4,22,0.00,0.00,0.00,0.00,0.00,0.21,0.16,0.38,0.21,0.38
Daniel Bandeira,POR,MT,Hellas Verona,24-187,2000,5,3,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,14,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Mattia Bani,ITA,DF,Genoa,30-310,1993,5,5,359,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Antonín Barák,CZE,MT,Fiorentina,29-317,1994,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,5,0.00,0.00,0.00,0.00,0.00,0.13,0.47,0.60,0.13,0.60
Federico Barba,ITA,DF,Como,31-044,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolò Barella,ITA,MT,Inter,27-251,1997,4,4,312,3.5,1,1,2,1,0,0,0,0,0.2,0.2,0.7,0.9,2,22,10,0.29,0.29,0.58,0.29,0.58,0.05,0.21,0.26,0.05,0.26
Davide Bartesaghi,ITA,DF,Milan,18-291,2005,1,0,5,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Federico Baschirotto,ITA,DF,Lecce,28-025,1996,7,7,630,7.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,7,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Daniele Baselli,ITA,MT,Como,32-217,1992,2,1,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alessandro Bastoni,ITA,DF,Inter,25-185,1999,6,6,476,5.3,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,16,42,24,0.00,0.19,0.19,0.00,0.19,0.02,0.06,0.08,0.02,0.08
Reda Belahyane,MAR,MT,Hellas Verona,20-136,2004,7,6,610,6.8,0,1,1,0,0,0,3,0,0.1,0.1,0.4,0.5,6,36,2,0.00,0.15,0.15,0.00,0.15,0.02,0.05,0.07,0.02,0.07
Raoul Bellanova,ITA,DF,Torino,24-151,2000,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,0,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.11,0.03,0.11
Raoul Bellanova,ITA,DF,Atalanta,24-151,2000,5,5,376,4.2,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,7,14,32,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.23,0.07,0.23
Andrea Belotti,ITA,AT,Como,30-300,1993,6,3,208,2.3,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,3,13,0.43,0.00,0.43,0.43,0.43,0.45,0.07,0.52,0.45,0.52
Lucas Beltrán,ARG,"MT,AT",Fiorentina,23-200,2001,3,1,89,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,7,9,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.21,0.20,0.21
Ismaël Bennacer,ALG,MT,Milan,26-319,1997,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14
Medon Berisha,ALB,"MT,AT",Lecce,20-360,2003,3,1,83,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,2,5,6,0.00,0.00,0.00,0.00,0.00,0.13,0.15,0.27,0.13,0.27
Adrian Bernabe,ESP,MT,Parma,23-142,2001,7,7,617,6.9,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,16,51,5,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13
Sam Beukema,NED,DF,Bologna,25-333,1998,7,6,585,6.5,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.7,6,35,1,0.00,0.15,0.15,0.00,0.15,0.02,0.09,0.11,0.02,0.11
Alessandro Bianco,ITA,MT,Monza,22-014,2002,4,3,253,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,7,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Alessandro Bianco,ITA,MT,Fiorentina,22-014,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jaka Bijol,SVN,DF,Udinese,25-253,1999,7,7,630,7.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,14,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Cristiano Biraghi,ITA,DF,Fiorentina,32-044,1992,6,5,419,4.7,1,0,1,1,0,0,1,0,0.1,0.1,0.2,0.4,3,14,17,0.21,0.00,0.21,0.21,0.21,0.03,0.05,0.08,0.03,0.08
Samuele Birindelli,ITA,DF,Monza,25-088,1999,2,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,5,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Emil Bohinen,NOR,MT,Genoa,25-217,1999,3,1,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,5,2,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.09,0.06,0.09
Warren Bondo,FRA,MT,Monza,21-030,2003,7,6,550,6.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,8,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
Ange-Yoan Bonny,FRA,AT,Parma,20-356,2003,7,7,530,5.9,2,1,3,1,1,1,0,0,2.6,1.8,1.1,2.9,9,15,43,0.34,0.17,0.51,0.17,0.34,0.44,0.18,0.62,0.30,0.48
Edoardo Bove,ITA,"MT,AT",Fiorentina,22-152,2002,5,4,376,4.2,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,3,11,11,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09
Domagoj Bradarić,CRO,DF,Hellas Verona,24-310,1999,2,1,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,2,3,4,0.00,0.00,0.00,0.00,0.00,0.04,0.45,0.49,0.04,0.49
Matthias Braunöder,AUT,MT,Como,22-202,2002,3,2,138,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iker Bravo,ESP,"MT,AT",Udinese,19-276,2005,4,0,55,0.6,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,1,2,4,0.00,0.00,0.00,0.00,0.00,0.66,0.14,0.81,0.66,0.81
Gleison Bremer,BRA,DF,Juventus,27-211,1997,6,6,540,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,21,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Brenner,BRA,"MT,AT",Udinese,24-273,2000,7,5,373,4.1,1,2,3,1,0,0,0,0,0.6,0.6,0.5,1.1,4,4,12,0.24,0.48,0.72,0.24,0.72,0.15,0.11,0.26,0.15,0.26
Marco Brescianini,ITA,MT,Atalanta,24-269,2000,6,4,365,4.1,2,0,2,2,0,0,0,0,0.5,0.5,0.3,0.9,14,13,21,0.49,0.00,0.49,0.49,0.49,0.13,0.08,0.21,0.13,0.21
Alessandro Buongiorno,ITA,DF,Napoli,25-131,1999,6,6,540,6.0,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,7,25,1,0.17,0.00,0.17,0.17,0.17,0.11,0.01,0.12,0.11,0.12
Gianluca Busio,USA,MT,Venezia,22-140,2002,4,4,346,3.8,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.8,9,11,16,0.26,0.00,0.26,0.26,0.26,0.10,0.11,0.21,0.10,0.21
Liberato Cacace,NZL,"DF,AT",Empoli,24-018,2000,5,0,104,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,3,9,0.00,0.00,0.00,0.00,0.00,0.11,0.09,0.20,0.11,0.20
Davide Calabria,ITA,DF,Milan,27-314,1996,2,2,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,16,10,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
Luca Caldirola,ITA,DF,Monza,33-257,1991,3,2,192,2.1,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,7,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
Hakan Çalhanoğlu,TUR,MT,Inter,30-250,1994,6,6,457,5.1,1,0,1,0,1,1,1,0,0.9,0.1,0.8,0.9,9,44,18,0.20,0.00,0.20,0.00,0.00,0.18,0.16,0.34,0.02,0.18
Drissa Camara,CIV,AT,Parma,22-240,2002,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
Nicolò Cambiaghi,ITA,AT,Bologna,23-292,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,4,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37
Andrea Cambiaso,ITA,"DF,AT",Juventus,24-238,2000,7,6,551,6.1,1,0,1,1,0,0,2,0,0.2,0.2,0.6,0.8,18,20,27,0.16,0.00,0.16,0.16,0.16,0.03,0.11,0.13,0.03,0.13
Matteo Cancellieri,ITA,"AT,MT",Parma,22-246,2002,6,2,210,2.3,1,0,1,1,0,0,0,1,0.8,0.8,0.2,1.0,7,7,15,0.43,0.00,0.43,0.43,0.43,0.36,0.07,0.43,0.36,0.43
Antonio Candela,ITA,DF,Venezia,24-171,2000,6,6,529,5.9,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,5,6,12,0.00,0.17,0.17,0.00,0.17,0.03,0.10,0.13,0.03,0.13
Gianluca Caprari,ITA,MT,Monza,31-077,1993,7,2,205,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,5,16,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Elia Caprile,ITA,GB,Napoli,23-051,2001,3,2,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francesco Caputo,ITA,AT,Empoli,37-070,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andrea Carboni,ITA,DF,Monza,23-254,2001,5,5,438,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,7,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Franco Carboni,ITA,DF,Venezia,21-194,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marco Carnesecchi,ITA,GB,Atalanta,24-106,2000,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolò Casale,ITA,DF,Bologna,26-244,1998,3,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolò Casale,ITA,DF,Lazio,26-244,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Federico Cassa,ITA,"MT,AT",Atalanta,18-257,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Valentín Castellanos,ARG,AT,Lazio,26-012,1998,6,6,505,5.6,3,1,4,3,0,1,2,0,3.9,3.0,0.5,3.6,9,14,28,0.53,0.18,0.71,0.53,0.71,0.70,0.10,0.79,0.54,0.64
Santiago Castro,ARG,AT,Bologna,20-016,2004,7,6,538,6.0,3,1,4,3,0,0,1,0,1.7,1.7,0.4,2.1,3,8,35,0.50,0.17,0.67,0.50,0.67,0.28,0.07,0.35,0.28,0.35
Gaetano Castrovilli,ITA,MT,Lazio,27-241,1997,4,1,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,4,8,4,0.00,0.00,0.00,0.00,0.00,0.07,0.69,0.76,0.07,0.76
Danilo Cataldi,ITA,MT,Fiorentina,30-070,1994,5,5,359,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,11,2,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Zeki Çelik,TUR,DF,Roma,27-241,1997,7,6,519,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,22,22,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Alberto Cerri,ITA,AT,Como,28-182,1996,2,0,61,0.7,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,0,0,5,0.00,0.00,0.00,0.00,0.00,1.01,0.00,1.01,1.01,1.01
Gabriel Charpentier,CGO,AT,Parma,25-151,1999,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Walid Cheddira,MAR,AT,Napoli,26-267,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20
Leandro Chichizola,ARG,GB,Parma,34-202,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samuel Chukwueze,NGA,AT,Milan,25-146,1999,7,2,186,2.1,0,0,0,0,0,0,0,0,0.4,0.4,0.6,0.9,9,6,21,0.00,0.00,0.00,0.00,0.00,0.18,0.27,0.45,0.18,0.45
Aaron Ciammaglichella,ITA,MT,Torino,19-263,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alessandro Circati,AUS,DF,Parma,21-005,2003,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alphadjo Cissè,ITA,MT,Hellas Verona,17-359,2006,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.93,0.93,0.93
Saúl Coco,EQG,DF,Torino,25-249,1999,6,6,540,6.0,2,0,2,2,0,0,0,0,0.2,0.2,0.0,0.2,0,10,0,0.33,0.00,0.33,0.33,0.33,0.04,0.00,0.04,0.04,0.04
Lorenzo Colombo,ITA,"AT,MT",Empoli,22-221,2002,7,6,429,4.8,2,1,3,1,1,1,1,0,2.1,1.4,0.5,1.8,8,2,24,0.42,0.21,0.63,0.21,0.42,0.45,0.09,0.55,0.29,0.38
Andrea Colpani,ITA,"MT,AT",Fiorentina,25-157,1999,7,6,463,5.1,0,0,0,0,0,0,0,0,1.1,1.1,0.0,1.1,15,18,37,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.22,0.21,0.22
Pietro Comuzzo,ITA,DF,Fiorentina,19-238,2005,6,6,497,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francisco Conceição,POR,AT,Juventus,21-306,2002,3,1,162,1.8,1,0,1,1,0,0,2,1,0.3,0.3,1.0,1.4,11,4,17,0.56,0.00,0.56,0.56,0.56,0.18,0.58,0.76,0.18,0.76
Diego Coppola,ITA,DF,Hellas Verona,20-292,2003,7,6,542,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joaquín Correa,ARG,"MT,AT",Inter,30-063,1994,2,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,1,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.46,0.46,0.46
Lassana Coulibaly,MLI,MT,Lecce,28-188,1996,7,3,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,3,14,6,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13
