Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
James Abankwah,IRL,DF,Udinese,Serie A,20-274,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18-194,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37-018,1987,5,5,450,5.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,2,10,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24-334,1999,7,7,619,6.9,2,0,2,0,2,2,0,0,1.9,0.3,1.0,1.3,28,47,32,0.29,0.00,0.29,0.00,0.00,0.27,0.15,0.42,0.04,0.19
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25-258,1999,3,2,158,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30-301,1993,4,2,222,2.5,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.1,3,4,13,0.41,0.00,0.41,0.41,0.41,0.22,0.22,0.44,0.22,0.44
Abel,ESP,DF,Osasuna,La Liga,24-056,2000,8,7,611,6.8,2,0,2,2,0,0,1,0,0.2,0.2,0.3,0.5,13,29,14,0.29,0.00,0.29,0.29,0.29,0.03,0.04,0.08,0.03,0.08
Nabil Aberdin,FRA,MF,Getafe,La Liga,22-054,2002,5,3,232,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Oliver Abildgaard,DEN,MF,Como,Serie A,28-128,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-202,2003,7,7,556,6.2,1,0,1,1,0,0,1,0,1.3,1.3,0.6,2.0,16,17,43,0.16,0.00,0.16,0.16,0.16,0.22,0.10,0.32,0.22,0.32
Abner,BRA,DF,Lyon,Ligue 1,24-142,2000,7,6,465,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,13,20,34,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24-241,2000,7,6,476,5.3,1,0,1,1,0,1,0,0,3.3,2.5,0.1,2.6,8,6,39,0.19,0.00,0.19,0.19,0.19,0.62,0.02,0.64,0.47,0.49
Abdel Abqar,MAR,DF,Alavés,La Liga,25-220,1999,9,9,678,7.5,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,6,20,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Tammy Abraham,ENG,FW,Roma,Serie A,27-014,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tammy Abraham,ENG,FW,Milan,Serie A,27-014,1997,5,4,347,3.9,1,1,2,0,1,2,0,0,2.9,1.3,0.3,1.6,1,3,23,0.26,0.26,0.52,0.00,0.26,0.76,0.08,0.84,0.33,0.41
