Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,ButEncaisse,ButEncaisse90,TCC,Arrêts,Arrêts%,V,N,D,CleanSheet,CleanSheet%,PenTire,PenConcede,PenArrete,PenManques,Arrêts%
Noah Atubolu,GER,GB,Freiburg,22-143,2002,4,4,360,4.0,4,1.00,11,7,63.6,3,0,1,2,50.0,0,0,0,0,
Oliver Baumann,GER,GB,Hoffenheim,34-135,1990,6,6,540,6.0,16,2.67,38,21,60.5,1,1,4,0,0.0,2,1,1,0,50.0
Patrick Drewes,GER,GB,Bochum,31-254,1993,6,6,540,6.0,14,2.33,33,18,60.6,0,1,5,0,0.0,2,1,1,0,50.0
Kamil Grabara,POL,GB,Wolfsburg,25-281,1999,6,6,540,6.0,12,2.00,35,23,68.6,2,1,3,1,16.7,2,1,1,0,50.0
Péter Gulácsi,HUN,GB,RB Leipzig,34-162,1990,6,6,540,6.0,2,0.33,25,22,92.0,4,2,0,5,83.3,1,0,1,0,100.0
Lukáš Hrádecký,FIN,GB,Leverkusen,34-326,1989,5,5,450,5.0,9,1.80,23,15,65.2,3,2,0,0,0.0,1,1,0,0,0.0
Gregor Kobel,SUI,GB,Dortmund,26-314,1997,6,6,540,6.0,11,1.83,26,15,65.4,3,1,2,2,33.3,2,2,0,0,0.0
Matej Kovar,CZE,GB,Leverkusen,24-151,2000,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
Nediljko Labrović,CRO,GB,Augsburg,25-005,1999,6,6,540,6.0,15,2.50,29,14,51.7,2,1,3,0,0.0,1,1,0,0,0.0
Florian Müller,GER,GB,Freiburg,26-337,1997,2,2,180,2.0,3,1.50,5,2,60.0,1,0,1,0,0.0,1,1,0,0,0.0
Kevin Müller,GER,GB,Heidenheim,33-214,1991,6,6,540,6.0,8,1.33,17,9,58.8,3,0,3,3,50.0,1,1,0,0,0.0
Manuel Neuer,GER,GB,Bayern Munich,38-202,1986,5,5,450,5.0,7,1.40,12,5,50.0,3,2,0,1,20.0,2,1,0,1,0.0
Moritz Nicolas,GER,GB,Gladbach,26-360,1997,3,3,270,3.0,4,1.33,11,7,63.6,1,0,2,1,33.3,0,0,0,0,
Alexander Nübel,GER,GB,Stuttgart,28-015,1996,6,6,540,6.0,11,1.83,28,17,64.3,2,3,1,0,0.0,1,1,0,0,0.0
Jonas Omlin,SUI,GB,Gladbach,30-279,1994,3,3,270,3.0,6,2.00,21,14,71.4,1,0,2,1,33.3,1,0,1,0,100.0
Frederik Rønnow,DEN,GB,Union Berlin,32-072,1992,6,6,540,6.0,4,0.67,16,11,75.0,3,2,1,2,33.3,1,0,1,0,100.0
Kauã Santos,BRA,GB,Eint Frankfurt,21-187,2003,4,3,315,3.5,6,1.71,27,21,81.5,2,1,0,1,33.3,1,1,0,0,0.0
Kevin Trapp,GER,GB,Eint Frankfurt,34-099,1990,3,3,225,2.5,3,1.20,10,7,70.0,2,0,1,0,0.0,0,0,0,0,
Sven Ulreich,GER,GB,Bayern Munich,36-073,1988,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,
Nikola Vasilj,BIH,GB,St. Pauli,28-318,1995,6,6,540,6.0,9,1.50,27,17,66.7,1,1,4,2,33.3,1,0,1,0,100.0
Timon Weiner,GER,GB,Holstein Kiel,25-271,1999,6,6,540,6.0,19,3.17,44,26,61.4,0,2,4,0,0.0,2,2,0,0,0.0
Robin Zentner,GER,GB,Mainz 05,29-353,1994,6,6,540,6.0,10,1.67,37,27,75.7,2,2,2,1,16.7,1,1,0,0,0.0
Michael Zetterer,GER,GB,Werder Bremen,29-095,1995,6,6,540,6.0,12,2.00,26,14,53.8,2,2,2,1,16.7,0,0,0,0,
