Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,ButEncaisse,ButEncaisse90,TCC,Arrêts,Arrêts%,V,N,D,CleanSheet,CleanSheet%,PenTire,PenConcede,PenArrete,PenManques,Arrêts%
Julen Agirrezabala,ESP,GB,Athletic Club,23-294,2000,6,6,486,5.4,4,0.74,13,9,76.9,4,1,1,2,33.3,1,1,0,0,0.0
Augusto Batalla,ARG,GB,Rayo Vallecano,28-168,1996,5,5,450,5.0,4,0.80,16,12,75.0,2,3,0,1,20.0,0,0,0,0,
Cárdenas,ESP,GB,Rayo Vallecano,27-201,1997,4,4,360,4.0,5,1.25,12,7,58.3,1,1,2,1,25.0,0,0,0,0,
Jasper Cillessen,NED,GB,Las Palmas,35-176,1989,7,7,630,7.0,13,1.86,36,23,69.4,0,3,4,0,0.0,4,2,1,1,33.3
Diego Conde,ESP,GB,Villarreal,25-353,1998,9,9,810,9.0,17,1.89,43,27,60.5,5,2,2,0,0.0,1,0,0,1,
Thibaut Courtois,BEL,GB,Real Madrid,32-157,1992,8,8,720,8.0,6,0.75,19,14,68.4,5,3,0,3,37.5,0,0,0,0,
Marko Dmitrović,SRB,GB,Leganés,32-265,1992,3,3,270,3.0,2,0.67,11,9,90.9,0,3,0,1,33.3,1,1,0,0,0.0
Joan García,ESP,GB,Espanyol,23-164,2001,9,9,810,9.0,13,1.44,56,42,78.6,3,1,5,1,11.1,2,1,1,0,50.0
Paulo Gazzaniga,ARG,GB,Girona,32-287,1992,9,9,810,9.0,12,1.33,32,18,62.5,3,3,3,3,33.3,2,0,2,0,100.0
Dominik Greif,SVK,GB,Mallorca,27-192,1997,6,6,540,6.0,7,1.17,25,18,72.0,2,1,3,1,16.7,0,0,0,0,
Vicente Guaita,ESP,GB,Celta Vigo,37-279,1987,5,5,450,5.0,6,1.20,18,12,66.7,2,1,2,1,20.0,0,0,0,0,
Sergio Herrera,ESP,GB,Osasuna,31-132,1993,9,9,810,9.0,14,1.56,38,25,63.2,4,3,2,2,22.2,0,0,0,0,
Dinko Horkaš,CRO,GB,Las Palmas,25-219,1999,2,2,180,2.0,4,2.00,8,3,50.0,0,0,2,0,0.0,1,0,1,0,100.0
Karl Jakob Hein,EST,GB,Valladolid,22-185,2002,9,9,810,9.0,19,2.11,49,31,61.2,1,2,6,3,33.3,0,0,0,0,
Andriy Lunin,UKR,GB,Real Madrid,25-247,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Giorgi Mamardashvili,GEO,GB,Valencia,24-016,2000,9,9,810,9.0,13,1.44,32,18,62.5,1,3,5,3,33.3,2,1,1,0,50.0
Juan Musso,ARG,GB,Atlético Madrid,30-162,1994,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Ørjan Nyland,NOR,GB,Sevilla,34-035,1990,9,9,810,9.0,10,1.11,37,28,75.7,3,3,3,3,33.3,1,1,0,0,0.0
Jan Oblak,SVN,GB,Atlético Madrid,31-282,1993,8,8,720,8.0,5,0.62,28,24,82.1,3,5,0,4,50.0,0,0,0,0,
Alex Padilla,ESP,GB,Athletic Club,21-044,2003,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0
Iñaki Peña,ESP,GB,Barcelona,25-227,1999,4,3,316,3.5,4,1.14,9,5,66.7,2,0,1,2,66.7,1,1,0,0,0.0
Álex Remiro,ESP,GB,Real Sociedad,29-205,1995,9,9,810,9.0,8,0.89,30,22,86.7,2,3,4,4,44.4,4,4,0,0,0.0
Leo Román,ESP,GB,Mallorca,24-101,2000,3,3,270,3.0,1,0.33,13,12,92.3,2,1,0,2,66.7,0,0,0,0,
Rui Silva,POR,GB,Betis,30-251,1994,9,9,810,9.0,8,0.89,29,21,79.3,3,3,3,3,33.3,2,2,0,0,0.0
Antonio Sivera,ESP,GB,Alavés,28-065,1996,9,9,810,9.0,15,1.67,41,26,68.3,3,1,5,2,22.2,2,2,0,0,0.0
David Soria,ESP,GB,Getafe,31-194,1993,9,9,810,9.0,7,0.78,24,17,75.0,1,5,3,3,33.3,1,1,0,0,0.0
Juan Soriano,ESP,GB,Leganés,27-053,1997,6,6,540,6.0,7,1.17,25,19,72.0,1,2,3,1,16.7,0,0,0,0,
Marc-André ter Stegen,GER,GB,Barcelona,32-168,1992,6,6,494,5.5,5,0.91,15,10,73.3,6,0,0,1,16.7,1,1,0,0,0.0
Iván Villar,ESP,GB,Celta Vigo,27-098,1997,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0
