Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,ButEncaisse,ButEncaisse90,TCC,Arrêts,Arrêts%,V,N,D,CleanSheet,CleanSheet%,PenTire,PenConcede,PenArrete,PenManques,Arrêts%
Dimitry Bertaud,COD,GB,Montpellier,26-131,1998,3,3,270,3.0,8,2.67,16,8,56.3,1,0,2,0,0.0,1,1,0,0,0.0
Marco Bizot,NED,GB,Brest,33-219,1991,7,7,630,7.0,13,1.86,28,16,64.3,3,0,4,3,42.9,4,3,0,1,0.0
Marcin Bułka,POL,GB,Nice,25-011,1999,7,7,630,7.0,7,1.00,37,31,83.8,2,3,2,2,28.6,1,1,0,0,0.0
Lucas Chevalier,FRA,GB,Lille,22-344,2001,7,7,630,7.0,8,1.14,29,21,75.9,4,1,2,3,42.9,1,1,0,0,0.0
Arthur Desmas,FRA,GB,Le Havre,30-191,1994,7,7,630,7.0,15,2.14,40,24,65.0,2,0,5,1,14.3,2,1,1,0,50.0
Yehvann Diouf,FRA,GB,Reims,24-334,1999,7,7,630,7.0,10,1.43,37,27,73.0,4,2,1,0,0.0,0,0,0,0,
Gianluigi Donnarumma,ITA,GB,Paris S-G,25-233,1999,5,5,450,5.0,4,0.80,15,11,80.0,4,1,0,1,20.0,1,1,0,0,0.0
Yahia Fofana,CIV,GB,Angers,24-055,2000,7,7,630,7.0,13,1.86,40,27,67.5,0,3,4,0,0.0,0,0,0,0,
Karl-Johan Johnsson,SWE,GB,Strasbourg,34-261,1990,3,3,270,3.0,6,2.00,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0
Philipp Köhn,SUI,GB,Monaco,26-196,1998,7,7,630,7.0,4,0.57,18,14,83.3,6,1,0,3,42.9,1,1,0,0,0.0
Alban Lafont,FRA,GB,Nantes,25-266,1999,7,7,630,7.0,8,1.14,27,20,77.8,2,3,2,2,28.6,2,2,0,0,0.0
Gautier Larsonneur,FRA,GB,Saint-Étienne,27-235,1997,7,7,630,7.0,18,2.57,39,22,64.1,2,1,4,1,14.3,4,4,0,0,0.0
Benjamin Lecomte,FRA,GB,Montpellier,33-172,1991,4,4,360,4.0,13,3.25,25,12,52.0,0,1,3,0,0.0,1,1,0,0,0.0
Donovan Léon,GUF,GB,Auxerre,31-347,1992,7,7,630,7.0,15,2.14,37,23,62.2,2,0,5,1,14.3,1,1,0,0,0.0
Steve Mandanda,FRA,GB,Rennes,39-201,1985,7,7,630,7.0,11,1.57,29,18,62.1,2,1,4,2,28.6,1,0,1,0,100.0
Lucas Perri,BRA,GB,Lyon,26-310,1997,7,7,630,7.0,12,1.71,40,28,70.0,3,1,3,2,28.6,0,0,0,0,
Đorđe Petrović,SRB,GB,Strasbourg,25-007,1999,4,4,360,4.0,6,1.50,17,11,70.6,1,3,0,1,25.0,1,1,0,0,0.0
Guillaume Restes,FRA,GB,Toulouse,19-218,2005,7,7,630,7.0,10,1.43,21,13,52.4,1,2,4,2,28.6,0,0,0,0,
Gerónimo Rulli,ARG,GB,Marseille,32-148,1992,7,7,630,7.0,8,1.14,32,22,75.0,4,2,1,1,14.3,2,0,2,0,100.0
Matvei Safonov,RUS,GB,Paris S-G,25-233,1999,2,2,180,2.0,2,1.00,6,4,83.3,1,1,0,0,0.0,1,1,0,0,0.0
Brice Samba,FRA,GB,Lens,30-173,1994,7,7,630,7.0,4,0.57,26,22,92.3,2,5,0,4,57.1,2,2,0,0,0.0
