Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,ButEncaisse,ButEncaisse90,TCC,Arrêts,Arrêts%,V,N,D,CleanSheet,CleanSheet%,PenTire,PenConcede,PenArrete,PenManques,Arrêts%
Emil Audero,ITA,GB,Como,27-271,1997,4,4,360,4.0,9,2.25,18,9,66.7,2,1,1,0,0.0,3,3,0,0,0.0
Elia Caprile,ITA,GB,Napoli,23-051,2001,3,2,235,2.6,1,0.38,4,3,75.0,2,0,0,2,100.0,0,0,0,0,
Marco Carnesecchi,ITA,GB,Atalanta,24-106,2000,6,6,540,6.0,13,2.17,25,14,48.0,2,1,3,0,0.0,0,0,0,0,
Leandro Chichizola,ARG,GB,Parma,34-202,1990,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
Michele Di Gregorio,ITA,GB,Juventus,27-080,1997,5,5,450,5.0,1,0.20,5,4,100.0,2,3,0,4,80.0,1,1,0,0,0.0
Wladimiro Falcone,ITA,GB,Lecce,29-186,1995,7,7,630,7.0,12,1.71,31,19,67.7,1,2,4,2,28.6,2,2,0,0,0.0
David de Gea,ESP,GB,Fiorentina,33-343,1990,4,4,360,4.0,5,1.25,22,15,77.3,2,1,1,1,25.0,2,0,2,0,100.0
Pierluigi Gollini,ITA,GB,Genoa,29-211,1995,7,7,630,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25.0
Jesse Joronen,FIN,GB,Venezia,31-208,1993,7,7,630,7.0,12,1.71,35,25,74.3,1,1,5,2,28.6,3,3,0,0,0.0
Mike Maignan,FRA,GB,Milan,29-104,1995,7,7,630,7.0,9,1.29,27,18,66.7,3,2,2,2,28.6,1,0,1,0,100.0
Alex Meret,ITA,GB,Napoli,27-207,1997,5,5,395,4.4,4,0.91,13,9,76.9,3,1,1,2,40.0,1,1,0,0,0.0
Vanja Milinković-Savić,SRB,GB,Torino,27-238,1997,6,6,540,6.0,8,1.33,34,25,76.5,3,2,1,2,33.3,1,0,1,0,100.0
Lorenzo Montipò,ITA,GB,Hellas Verona,28-238,1996,7,7,630,7.0,12,1.71,33,21,66.7,3,0,4,2,28.6,2,1,0,1,0.0
Juan Musso,ARG,GB,Atalanta,30-162,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
Maduka Okoye,NGA,GB,Udinese,25-048,1999,7,7,630,7.0,10,1.43,35,25,77.1,4,1,2,2,28.6,3,2,0,1,0.0
Alberto Paleari,ITA,GB,Torino,32-047,1992,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,
Mattia Perin,ITA,GB,Juventus,31-340,1992,2,2,180,2.0,0,0.00,5,5,100.0,1,1,0,2,100.0,0,0,0,0,
Semuel Pizzignacco,ITA,GB,Monza,23-044,2001,3,3,270,3.0,2,0.67,7,5,71.4,0,2,1,1,33.3,0,0,0,0,
Ivan Provedel,ITA,GB,Lazio,30-212,1994,7,7,630,7.0,11,1.57,25,14,64.0,4,1,2,0,0.0,2,2,0,0,0.0
Federico Ravaglia,ITA,GB,Bologna,24-339,1999,2,2,180,2.0,1,0.50,5,4,80.0,1,1,0,1,50.0,0,0,0,0,
Pepe Reina,ESP,GB,Como,42-045,1982,3,3,270,3.0,5,1.67,13,8,61.5,0,1,2,0,0.0,0,0,0,0,
Simone Scuffet,ITA,GB,Cagliari,28-137,1996,7,7,630,7.0,11,1.57,32,21,71.9,1,3,3,1,14.3,2,2,0,0,0.0
Łukasz Skorupski,POL,GB,Bologna,33-163,1991,5,5,450,5.0,8,1.60,17,9,52.9,0,4,1,0,0.0,1,0,1,0,100.0
Yann Sommer,SUI,GB,Inter,35-303,1988,7,7,630,7.0,9,1.29,30,20,73.3,4,2,1,2,28.6,2,1,1,0,50.0
Zion Suzuki,JPN,GB,Parma,22-055,2002,5,5,450,5.8,7,1.40,27,20,74.1,1,3,2,1,20.0,0,0,0,0,
Mile Svilar,SRB,GB,Roma,25-049,1999,7,7,630,7.0,5,0.71,25,20,84.0,2,4,1,3,42.9,1,1,0,0,0.0
Pietro Terracciano,ITA,GB,Fiorentina,34-221,1990,3,3,270,3.0,3,1.00,13,10,76.9,0,3,0,1,33.3,0,0,0,0,
Stefano Turati,ITA,GB,Monza,23-040,2001,4,4,360,4.0,7,1.75,18,11,61.1,0,2,2,0,0.0,0,0,0,0,
Devis Vásquez,COL,GB,Empoli,26-156,1998,7,7,630,7.0,4,0.57,22,17,81.8,2,4,1,4,57.1,1,0,1,0,100.0
