Player,Nation,Pos,Squad,Born,Seasons
Liel Abada,ISR,"FW,MF",Celtic,2001,{'2022-2023': ['Champions League']}
Oliver Abildgaard,DEN,MF,Celtic,1996,"{'2022-2023': ['Champions League', 'Serie A'], '2024-2025': ['Serie A']}"
Mohammad Abu Fani,ISR,MF,Maccabi Haifa,1998,"{'2022-2023': ['Champions League'], '2024-2025': ['Europa League']}"
Francesco Acerbi,ITA,DF,Inter,1988,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A']}"
Marcos Acuña,ARG,"DF,MF",Sevilla,1991,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Junior Adamu,AUT,FW,RB Salzburg,2001,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga']}"
Antonio Adán,ESP,GK,Sporting CP,1987,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Primeira Liga', 'Europa League']}"
Arijan Ademi,MKD,MF,Dinamo Zagreb,1991,"{'2022-2023': ['Champions League'], '2024-2025': ['Champions League']}"
Karim Adeyemi,GER,"FW,MF",Dortmund,2002,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League']}"
Amine Adli,MAR,"FW,MF",Leverkusen,2000,"{'2022-2023': ['Europa League', 'Bundesliga', 'Champions League'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga', 'Champions League']}"
Manuel Akanji,SUI,DF,Manchester City,1995,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Nathan Aké,NED,DF,Manchester City,1995,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
David Alaba,AUT,DF,Real Madrid,1992,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League']}"
Lucas Alario,ARG,"FW,MF",Eint Frankfurt,1992,"{'2022-2023': ['Bundesliga', 'Champions League'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Jordi Alba,ESP,DF,Barcelona,1989,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], 'WC 2022': ['WC 2022']}"
Thiago Alcántara,ESP,MF,Liverpool,1991,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League']}"
Trent Alexander-Arnold,ENG,DF,Liverpool,1998,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Sotiris Alexandropoulos,GRE,MF,Sporting CP,2001,"{'2022-2023': ['Champions League'], '2023-2024': ['Europa League'], '2024-2025': ['Belgian Pro League']}"
Faride Alidou,GER,"DF,FW",Eint Frankfurt,2001,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga'], '2024-2025': ['Serie A']}"
Alisson,BRA,GK,Liverpool,1992,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Marcos Alonso,ESP,DF,Barcelona,1990,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga']}"
Éder Álvarez Balanta,COL,"MF,FW",Club Brugge,1993,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023-2024': ['Belgian Pro League']}"
Edson Álvarez,MEX,MF,Ajax,1997,"{'2022-2023': ['Europa League', 'Champions League'], '2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Julián Álvarez,ARG,FW,Manchester City,2000,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['La Liga', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Nadiem Amiri,GER,"MF,FW",Leverkusen,1996,"{'2022-2023': ['Europa League', 'Bundesliga', 'Champions League'], '2023-2024': ['Bundesliga'], '2024-2025': ['Bundesliga']}"
Robert Andrich,GER,MF,Leverkusen,1994,"{'2022-2023': ['Europa League', 'Bundesliga', 'Champions League'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Peter Ankersen,DEN,DF,FC Copenhagen,1990,"{'2022-2023': ['Champions League'], '2023-2024': ['Champions League']}"
Ofri Arad,ISR,"DF,MF",Maccabi Haifa,1998,{'2022-2023': ['Champions League']}
Charles Aránguiz,CHI,MF,Leverkusen,1989,"{'2022-2023': ['Bundesliga', 'Champions League'], '2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Henrique Araújo,POR,FW,Benfica,2002,"{'2022-2023': ['Champions League'], '2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Ronald Araújo,URU,DF,Barcelona,1999,"{'2022-2023': ['Europa League', 'La Liga', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Scott Arfield,CAN,MF,Rangers,1988,{'2022-2023': ['Champions League']}
Hákon Arnar Haraldsson,ISL,FW,FC Copenhagen,2003,"{'2022-2023': ['Champions League'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1']}"
Kepa Arrizabalaga,ESP,GK,Chelsea,1994,"{'2022-2023': ['Premier League', 'Champions League'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Premier League']}"
Arthur,BRA,"MF,FW",Sporting CP,1998,"{'2022-2023': ['Europa League', 'Champions League'], '2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marco Asensio,ESP,"FW,MF",Real Madrid,1996,"{'2022-2023': ['La Liga', 'Champions League'], '2023-2024': ['Ligue 1', 'Champions League'], '2024-2025': ['Ligue 1', 'Champions League'], 'WC 2022': ['WC 2022']}"
Kristjan Asllani,ALB,MF,Inter,2002,"{'2022-2023': ['Champions League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Omer Atzili,ISR,"FW,MF",Maccabi Haifa,1993,{'2022-2023': ['Champions League']}
Pierre-Emerick Aubameyang,GAB,FW,Chelsea,1989,"{'2022-2023': ['Premier League', 'La Liga', 'Champions League'], '2023-2024': ['Europa League', 'Ligue 1']}"
Lynnt Audoor,BEL,MF,Club Brugge,2003,"{'2022-2023': ['Champions League'], '2023-2024': ['Belgian Pro League']}"
