Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Junior Adamu,AUT,AT,Freiburg,23-130,2001,6,6,498,5.5,2,1,3,2,0,0,2,0,2.2,2.2,1.4,3.6,4,3,23,0.36,0.18,0.54,0.36,0.54,0.41,0.25,0.66,0.41,0.66,https://fbref.com/fr/joueurs/82e12fe7/Junior-Adamu
Karim Adeyemi,GER,"AT,MT",Dortmund,22-270,2002,5,4,305,3.4,2,3,5,2,0,0,0,0,0.7,0.7,1.7,2.4,12,3,29,0.59,0.89,1.48,0.59,1.48,0.22,0.49,0.71,0.22,0.71,https://fbref.com/fr/joueurs/501055d8/Karim-Adeyemi
Amine Adli,MAR,"MT,AT",Leverkusen,24-157,2000,6,1,142,1.6,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,8,4,20,0.00,0.00,0.00,0.00,0.00,0.25,0.01,0.26,0.25,0.26,https://fbref.com/fr/joueurs/dcfb17f4/Amine-Adli
Oladapo Afolayan,ENG,"AT,MT",St. Pauli,26-245,1998,6,3,340,3.8,1,0,1,1,0,0,0,0,1.1,1.1,0.4,1.5,9,8,23,0.26,0.00,0.26,0.26,0.26,0.29,0.11,0.40,0.29,0.40,https://fbref.com/fr/joueurs/5054c359/Oladapo-Afolayan
Felix Agu,GER,DF,Werder Bremen,25-017,1999,6,6,500,5.6,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.9,12,10,44,0.18,0.00,0.18,0.18,0.18,0.08,0.08,0.16,0.08,0.16,https://fbref.com/fr/joueurs/cb6d81b3/Felix-Agu
Kevin Akpoguma,NGA,DF,Hoffenheim,29-178,1995,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,26,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/fr/joueurs/6ec6fde0/Kevin-Akpoguma
Andreas Albers,DEN,AT,St. Pauli,34-205,1990,4,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,4,0.00,0.00,0.00,0.00,0.00,0.35,0.35,0.70,0.35,0.70,https://fbref.com/fr/joueurs/94471fb7/Andreas-Albers
Skelly Alvero,FRA,MT,Werder Bremen,22-163,2002,5,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/add37c13/Skelly-Alvero
Aurele Amenda,SUI,DF,Eint Frankfurt,21-075,2003,2,1,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/1227a22d/Aurele-Amenda
Nadiem Amiri,GER,MT,Mainz 05,27-353,1996,5,5,382,4.2,2,2,4,1,1,1,2,1,1.1,0.3,1.1,1.5,6,26,8,0.47,0.47,0.94,0.24,0.71,0.26,0.27,0.53,0.08,0.35,https://fbref.com/fr/joueurs/555d5edd/Nadiem-Amiri
Mohamed Amoura,ALG,AT,Wolfsburg,24-158,2000,4,3,308,3.4,1,4,5,1,0,0,2,0,1.1,1.1,1.0,2.1,9,6,30,0.29,1.17,1.46,0.29,1.46,0.32,0.30,0.62,0.32,0.62,https://fbref.com/fr/joueurs/6597f8b6/Mohamed-Amoura
Robert Andrich,GER,"MT,DF",Leverkusen,30-022,1994,4,4,319,3.5,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,0,15,4,0.28,0.00,0.28,0.28,0.28,0.05,0.01,0.06,0.05,0.06,https://fbref.com/fr/joueurs/e0b113a7/Robert-Andrich
Waldemar Anton,GER,DF,Dortmund,28-086,1996,6,6,540,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,9,30,6,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,https://fbref.com/fr/joueurs/5e66fa06/Waldemar-Anton
Maximilian Arnold,GER,MT,Wolfsburg,30-140,1994,6,6,535,5.9,1,1,2,1,0,0,4,0,0.1,0.1,0.2,0.3,0,20,2,0.17,0.17,0.34,0.17,0.34,0.02,0.03,0.05,0.02,0.05,https://fbref.com/fr/joueurs/86e119e0/Maximilian-Arnold
Jann-Fiete Arp,GER,"AT,MT",Holstein Kiel,24-282,2000,6,0,177,2.0,1,0,1,0,1,1,1,0,1.1,0.3,0.3,0.6,3,2,14,0.51,0.00,0.51,0.00,0.00,0.54,0.14,0.68,0.14,0.28,https://fbref.com/fr/joueurs/c21fb312/Jann-Fiete-Arp
Arthur,BRA,DF,Leverkusen,21-211,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/8a958856/Arthur
Noah Atubolu,GER,GB,Freiburg,22-142,2002,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/dbd1b101/Noah-Atubolu
Aliou Badara Baldé,GUI,"MT,AT",Bochum,21-307,2002,5,0,91,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,1,5,0.00,0.00,0.00,0.00,0.00,0.18,0.17,0.35,0.18,0.35,https://fbref.com/fr/joueurs/7362a6f2/Aliou-Badara-Balde
Ridle Baku,GER,"AT,MT",Wolfsburg,26-189,1998,6,5,398,4.4,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.8,3,13,28,0.23,0.00,0.23,0.23,0.23,0.12,0.07,0.19,0.12,0.19,https://fbref.com/fr/joueurs/442b56fa/Ridle-Baku
Samuel Bamba,GER,"AT,MT",Bochum,20-244,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,https://fbref.com/fr/joueurs/489d4867/Samuel-Bamba
Scott Banks,SCO,"AT,MT",St. Pauli,23-018,2001,3,0,25,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,https://fbref.com/fr/joueurs/d01f8942/Scott-Banks
Aymen Barkok,MAR,MT,Mainz 05,26-146,1998,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,6,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,https://fbref.com/fr/joueurs/a2a85828/Aymen-Barkok
Maximilian Bauer,GER,DF,Augsburg,24-248,2000,5,4,340,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,10,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,https://fbref.com/fr/joueurs/44a20f0c/Maximilian-Bauer
Oliver Baumann,GER,GB,Hoffenheim,34-134,1990,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,https://fbref.com/fr/joueurs/47064058/Oliver-Baumann
Christoph Baumgartner,AUT,"MT,DF",RB Leipzig,25-074,1999,6,1,121,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,2,10,0.00,0.00,0.00,0.00,0.00,0.23,0.06,0.29,0.23,0.29,https://fbref.com/fr/joueurs/437f2b00/Christoph-Baumgartner
Adrian Beck,GER,"AT,MT",Heidenheim,27-127,1997,5,3,232,2.6,1,1,2,1,0,0,0,0,0.6,0.6,0.2,0.8,2,7,6,0.39,0.39,0.78,0.39,0.78,0.23,0.08,0.31,0.23,0.31,https://fbref.com/fr/joueurs/616c09f5/Adrian-Beck
Timo Becker,GER,DF,Holstein Kiel,27-203,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1.0,4,8,11,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.17,0.14,0.17,https://fbref.com/fr/joueurs/543ddcaf/Timo-Becker
Kevin Behrens,GER,AT,Wolfsburg,33-254,1991,3,0,45,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,6,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.91,0.91,0.91,https://fbref.com/fr/joueurs/30ae134d/Kevin-Behrens
Maximilian Beier,GER,AT,Dortmund,21-363,2002,5,2,228,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,2,3,14,0.00,0.00,0.00,0.00,0.00,0.20,0.09,0.28,0.20,0.28,https://fbref.com/fr/joueurs/5db45ee5/Maximilian-Beier
Stefan Bell,GER,DF,Mainz 05,33-051,1991,3,1,164,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,4,1,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.21,0.20,0.21,https://fbref.com/fr/joueurs/857a5abe/Stefan-Bell
Jeanuël Belocian,FRA,DF,Leverkusen,19-240,2005,2,1,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/c678ddd7/Jeanuel-Belocian
László Bénes,SVK,"MT,AT",Union Berlin,27-035,1997,5,1,138,1.5,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,1,4,7,0.65,0.00,0.65,0.65,0.65,0.19,0.11,0.30,0.19,0.30,https://fbref.com/fr/joueurs/fe888e39/Laszlo-Benes
Ramy Bensebaini,ALG,"DF,AT",Dortmund,29-181,1995,6,1,178,2.0,0,1,1,0,0,0,3,0,0.1,0.1,0.5,0.6,4,6,9,0.00,0.51,0.51,0.00,0.51,0.06,0.26,0.32,0.06,0.32,https://fbref.com/fr/joueurs/378825c7/Ramy-Bensebaini
Mergim Berisha,GER,AT,Hoffenheim,26-156,1998,5,3,220,2.4,1,1,2,1,0,0,0,0,0.8,0.8,0.5,1.3,2,5,7,0.41,0.41,0.82,0.41,0.82,0.32,0.20,0.52,0.32,0.52,https://fbref.com/fr/joueurs/eb6e14be/Mergim-Berisha
Alexander Bernhardsson,SWE,"DF,AT",Holstein Kiel,26-036,1998,2,2,152,1.7,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,2,3,5,0.59,0.00,0.59,0.59,0.59,0.12,0.10,0.22,0.12,0.22,https://fbref.com/fr/joueurs/dea1d183/Alexander-Bernhardsson
Matúš Bero,SVK,MT,Bochum,29-038,1995,6,6,517,5.7,2,0,2,2,0,0,2,0,0.3,0.3,0.3,0.6,5,18,14,0.35,0.00,0.35,0.35,0.35,0.05,0.05,0.10,0.05,0.10,https://fbref.com/fr/joueurs/b5e0af76/Matus-Bero
El Bilal Touré,MLI,AT,Stuttgart,23-011,2001,5,1,127,1.4,1,0,1,1,0,0,0,0,1.4,1.4,0.1,1.5,3,1,10,0.71,0.00,0.71,0.71,0.71,0.96,0.09,1.05,0.96,1.05,https://fbref.com/fr/joueurs/47c609d5/El-Bilal-Toure
Tom Bischof,GER,MT,Hoffenheim,19-108,2005,4,3,250,2.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,7,12,8,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,https://fbref.com/fr/joueurs/07d3bfec/Tom-Bischof
Leonardo Bittencourt,GER,MT,Werder Bremen,30-300,1993,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,3,1,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,https://fbref.com/fr/joueurs/dc62fbee/Leonardo-Bittencourt
Myron Boadu,NED,AT,Bochum,23-274,2001,6,4,347,3.9,2,1,3,2,0,0,0,0,2.0,2.0,0.3,2.4,3,4,20,0.52,0.26,0.78,0.52,0.78,0.53,0.08,0.61,0.53,0.61,https://fbref.com/fr/joueurs/5b479568/Myron-Boadu
Sacha Boey,FRA,DF,Bayern Munich,24-031,2000,2,2,127,1.4,0,1,1,0,0,0,1,0,0.0,0.0,0.9,1.0,4,0,10,0.00,0.71,0.71,0.00,0.71,0.03,0.66,0.69,0.03,0.69,https://fbref.com/fr/joueurs/6c8ddd52/Sacha-Boey
Victor Boniface,NGA,AT,Leverkusen,23-296,2000,6,5,411,4.6,4,1,5,4,0,0,1,0,3.0,3.0,0.8,3.8,11,9,26,0.88,0.22,1.09,0.88,1.09,0.65,0.18,0.83,0.65,0.83,https://fbref.com/fr/joueurs/b146275b/Victor-Boniface
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25-206,1999,6,6,540,6.0,2,0,2,2,0,0,1,0,0.6,0.6,0.0,0.6,0,8,1,0.33,0.00,0.33,0.33,0.33,0.10,0.00,0.10,0.10,0.10,https://fbref.com/fr/joueurs/01834aa0/Sebastiaan-Bornauw
Carlo Boukhalfa,MAR,MT,St. Pauli,25-164,1999,5,3,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,6,7,0.38,0.00,0.38,0.38,0.38,0.13,0.04,0.17,0.13,0.17,https://fbref.com/fr/joueurs/1a86f4a9/Carlo-Boukhalfa
Julian Brandt,GER,MT,Dortmund,28-165,1996,6,6,472,5.2,0,3,3,0,0,0,0,0,0.8,0.8,1.2,2.0,20,38,43,0.00,0.57,0.57,0.00,0.57,0.15,0.23,0.38,0.15,0.38,https://fbref.com/fr/joueurs/a167537f/Julian-Brandt
Tim Breithaupt,GER,MT,Augsburg,22-250,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.00,0.75,0.75,0.00,0.75,0.04,0.29,0.33,0.04,0.33,https://fbref.com/fr/joueurs/ed98c321/Tim-Breithaupt
