Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Abel,ESP,DF,Osasuna,24-054,2000,8,7,611,6.8,2,0,2,2,0,0,1,0,0.2,0.2,0.3,0.5,13,29,14,0.29,0.00,0.29,0.29,0.29,0.03,0.04,0.08,0.03,0.08,https://fbref.com/fr/joueurs/40b6bd38/Abel
Nabil Aberdin,FRA,MT,Getafe,22-052,2002,5,3,232,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,https://fbref.com/fr/joueurs/cadfa7d1/Nabil-Aberdin
Abdel Abqar,MAR,DF,Alavés,25-218,1999,9,9,678,7.5,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,6,20,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,https://fbref.com/fr/joueurs/2bc7f211/Abdel-Abqar
Julen Agirrezabala,ESP,GB,Athletic Club,23-293,2000,6,6,486,5.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/a2c1a8d3/Julen-Agirrezabala
Lucien Agoume,FRA,MT,Sevilla,22-248,2002,9,6,536,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,8,29,10,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,https://fbref.com/fr/joueurs/8bc8829a/Lucien-Agoume
Álvaro Aguado,ESP,MT,Espanyol,28-166,1996,7,2,228,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,19,2,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,https://fbref.com/fr/joueurs/014aa7bd/Alvaro-Aguado
Nayef Aguerd,MAR,DF,Real Sociedad,28-198,1996,5,5,424,4.7,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,7,20,0,0.00,0.00,0.00,0.00,0.00,0.19,0.01,0.19,0.19,0.19,https://fbref.com/fr/joueurs/288e1e13/Nayef-Aguerd
Joseph Aidoo,GHA,DF,Celta Vigo,29-015,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/18abe173/Joseph-Aidoo
Ilias Akhomach,MAR,MT,Villarreal,20-181,2004,8,4,390,4.3,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.1,20,6,44,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.25,0.07,0.25,https://fbref.com/fr/joueurs/b8bd60fe/Ilias-Akhomach
Raúl Albiol,ESP,DF,Villarreal,39-040,1985,7,6,468,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,5,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/fr/joueurs/4bd414c1/Raul-Albiol
Omar Alderete,PAR,DF,Getafe,27-293,1996,8,8,720,8.0,0,0,0,0,0,0,1,0,0.4,0.4,0.6,1.0,7,35,0,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.13,0.04,0.13,https://fbref.com/fr/joueurs/bb08bce9/Omar-Alderete
Carles Aleñá,ESP,"MT,AT",Getafe,26-283,1998,6,3,305,3.4,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,2,8,7,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,https://fbref.com/fr/joueurs/6c811eb7/Carles-Alena
Alfon,ESP,"AT,MT",Celta Vigo,25-163,1999,4,2,187,2.1,0,0,0,0,0,0,0,1,0.7,0.7,0.3,1.1,9,6,20,0.00,0.00,0.00,0.00,0.00,0.35,0.17,0.52,0.35,0.52,https://fbref.com/fr/joueurs/1c772b46/Alfon
Domingos André Ribeiro Almeida,POR,"AT,MT",Valencia,24-137,2000,8,5,418,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,8,31,17,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.08,0.03,0.08,https://fbref.com/fr/joueurs/e6697917/Domingos-Andre-Ribeiro-Almeida
Iker Almena,ESP,"AT,DF",Girona,20-163,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33,https://fbref.com/fr/joueurs/0b32f721/Iker-Almena
Marcos Alonso,ESP,"DF,MT",Celta Vigo,33-291,1990,5,3,372,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,12,34,18,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,https://fbref.com/fr/joueurs/f4290206/Marcos-Alonso
Adrià Altimira,ESP,"AT,DF",Leganés,23-200,2001,5,3,268,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,6,14,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,https://fbref.com/fr/joueurs/757a3431/Adria-Altimira
Sergi Altimira,ESP,MT,Betis,23-050,2001,6,3,354,3.9,0,1,1,0,0,0,2,0,0.3,0.2,0.2,0.4,5,21,6,0.00,0.25,0.25,0.00,0.25,0.07,0.05,0.12,0.04,0.09,https://fbref.com/fr/joueurs/94acdd4e/Sergi-Altimira
Hugo Álvarez,ESP,"MT,DF",Celta Vigo,21-104,2003,9,7,672,7.5,1,1,2,1,0,0,3,0,0.4,0.4,0.3,0.8,33,23,74,0.13,0.13,0.27,0.13,0.27,0.06,0.05,0.10,0.06,0.10,https://fbref.com/fr/joueurs/6f392eb8/Hugo-Alvarez
Julián Álvarez,ARG,"AT,MT",Atlético Madrid,24-257,2000,9,6,511,5.7,3,0,3,3,0,0,1,0,1.7,1.7,0.2,1.9,13,6,29,0.53,0.00,0.53,0.53,0.53,0.31,0.03,0.34,0.31,0.34,https://fbref.com/fr/joueurs/15ab5a2b/Julian-Alvarez
Yeray Álvarez,ESP,DF,Athletic Club,29-264,1995,4,4,360,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,28,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,https://fbref.com/fr/joueurs/3ecc11d8/Yeray-Alvarez
Selim Amallah,MAR,MT,Valladolid,27-334,1996,7,6,456,5.1,1,1,2,1,0,0,1,0,1.6,1.6,0.1,1.8,9,22,10,0.20,0.20,0.39,0.20,0.39,0.32,0.03,0.35,0.32,0.35,https://fbref.com/fr/joueurs/00eba9c9/Selim-Amallah
Amath,SEN,"AT,DF",Valladolid,28-090,1996,6,5,293,3.3,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.6,7,10,17,0.00,0.31,0.31,0.00,0.31,0.11,0.06,0.17,0.11,0.17,https://fbref.com/fr/joueurs/f3b1d9a2/Amath
Marcos André,BRA,AT,Valladolid,27-360,1996,5,3,252,2.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,4,7,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,https://fbref.com/fr/joueurs/ae86d473/Marcos-Andre
Antoniu,ESP,MT,Espanyol,22-039,2002,3,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.26,0.04,0.26,https://fbref.com/fr/joueurs/af784a9e/Antoniu
Anuar,MAR,AT,Valladolid,29-273,1995,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.07,0.50,0.56,0.07,0.56,https://fbref.com/fr/joueurs/c93231dc/Anuar
Aritz Arambarri,ESP,DF,Leganés,26-257,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,https://fbref.com/fr/joueurs/f28876e5/Aritz-Arambarri
Mauro Arambarri,URU,"MT,AT",Getafe,29-014,1995,9,5,468,5.2,2,0,2,2,0,0,3,0,0.4,0.4,0.0,0.5,2,12,6,0.38,0.00,0.38,0.38,0.38,0.08,0.00,0.09,0.08,0.09,https://fbref.com/fr/joueurs/58afe001/Mauro-Arambarri
Jon Aramburu,VEN,DF,Real Sociedad,22-083,2002,7,5,436,4.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,10,24,13,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,https://fbref.com/fr/joueurs/dc7a172e/Jon-Aramburu
Adu Ares,ESP,AT,Athletic Club,23-002,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/a461f098/Adu-Ares
