Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
James Abankwah,IRL,DF,Udinese,20-272,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/4b7a9fcc/James-Abankwah
Oliver Abildgaard,DEN,MT,Como,28-126,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/8f5cdf66/Oliver-Abildgaard
Tammy Abraham,ENG,AT,Roma,27-012,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/f586779e/Tammy-Abraham
Tammy Abraham,ENG,AT,Milan,27-012,1997,5,4,347,3.9,1,1,2,0,1,2,0,0,2.9,1.3,0.3,1.6,1,3,23,0.26,0.26,0.52,0.00,0.26,0.76,0.08,0.84,0.33,0.41,https://fbref.com/fr/joueurs/f586779e/Tammy-Abraham
Federico Accornero,ITA,MT,Genoa,20-252,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/83763653/Federico-Accornero
Francesco Acerbi,ITA,DF,Inter,36-247,1988,6,6,540,6.0,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.3,5,25,4,0.00,0.17,0.17,0.00,0.17,0.03,0.03,0.06,0.03,0.06,https://fbref.com/fr/joueurs/b96b595c/Francesco-Acerbi
Che Adams,SCO,"AT,MT",Torino,28-093,1996,7,4,386,4.3,3,1,4,3,0,0,0,0,1.5,1.5,0.7,2.2,3,4,20,0.70,0.23,0.93,0.70,0.93,0.35,0.17,0.52,0.35,0.52,https://fbref.com/fr/joueurs/f2bf1b0f/Che-Adams
Yacine Adli,FRA,MT,Fiorentina,24-077,2000,5,1,143,1.6,1,1,2,1,0,0,0,0,0.0,0.0,0.2,0.2,5,7,2,0.63,0.63,1.26,0.63,1.26,0.02,0.11,0.13,0.02,0.13,https://fbref.com/fr/joueurs/26777636/Yacine-Adli
Michel Aebischer,SUI,MT,Bologna,27-282,1997,7,5,378,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,19,9,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,https://fbref.com/fr/joueurs/f9c927de/Michel-Aebischer
Honest Ahanor,ITA,DF,Genoa,16-234,2008,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/42ff58c3/Honest-Ahanor
