Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Keyliane Abdallah,FRA,AT,Marseille,18-192,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/7310786d/Keyliane-Abdallah
Yunis Abdelhamid,MAR,DF,Saint-Étienne,37-016,1987,5,5,450,5.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,2,10,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,https://fbref.com/fr/joueurs/32c2d95f/Yunis-Abdelhamid
Himad Abdelli,ALG,"MT,AT",Angers,24-332,1999,7,7,619,6.9,2,0,2,0,2,2,0,0,1.9,0.3,1.0,1.3,28,47,32,0.29,0.00,0.29,0.00,0.00,0.27,0.15,0.42,0.04,0.19,https://fbref.com/fr/joueurs/7978cbf0/Himad-Abdelli
Mohamed Abdelmoneim,EGY,DF,Nice,25-256,1999,3,2,158,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/bff15d74/Mohamed-Abdelmoneim
Ali Abdi,TUN,"DF,MT",Nice,30-299,1993,4,2,222,2.5,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.1,3,4,13,0.41,0.00,0.41,0.41,0.41,0.22,0.22,0.44,0.22,0.44,https://fbref.com/fr/joueurs/ad7cdb35/Ali-Abdi
Matthis Abline,FRA,AT,Nantes,21-200,2003,7,7,556,6.2,1,0,1,1,0,0,1,0,1.3,1.3,0.6,2.0,16,17,43,0.16,0.00,0.16,0.16,0.16,0.22,0.10,0.32,0.22,0.32,https://fbref.com/fr/joueurs/0e46fa2f/Matthis-Abline
Abner,BRA,DF,Lyon,24-140,2000,7,6,465,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,13,20,34,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,https://fbref.com/fr/joueurs/7f9c5d2d/Abner
Zakaria Aboukhlal,MAR,"MT,AT",Toulouse,24-239,2000,7,6,476,5.3,1,0,1,1,0,1,0,0,3.3,2.5,0.1,2.6,8,6,39,0.19,0.00,0.19,0.19,0.19,0.62,0.02,0.64,0.47,0.49,https://fbref.com/fr/joueurs/c2a6033c/Zakaria-Aboukhlal
Akor Adams,NGA,AT,Montpellier,24-259,2000,7,6,551,6.1,3,1,4,3,0,0,2,0,2.9,2.9,0.6,3.4,4,3,25,0.49,0.16,0.65,0.49,0.65,0.47,0.09,0.56,0.47,0.56,https://fbref.com/fr/joueurs/2ccd39ed/Akor-Adams
Martin Adeline,FRA,MT,Reims,20-317,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/7587446d/Martin-Adeline
Adryelson,BRA,DF,Lyon,26-205,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/e980e78d/Adryelson
Emmanuel Agbadou,CIV,DF,Reims,27-119,1997,7,7,630,7.0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,4,34,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,https://fbref.com/fr/joueurs/75f1ed80/Emmanuel-Agbadou
